"0","2","26","4294967295","3","8.2","3","8.2","","","","No stopping! No stopping ever! Aaaaaaaah!"
"","","","","17.8","18.8","17.8","18.8","","","","The bridge!"
"","","","","18.9","21.5","18.9","21.5","","","","Blast! We're t-t-trapped!"
"","","","","22.7","25","22.7","25","","","","I've got an idea!"
"","","","","32.5","33.5","32.5","33.5","","","","......!"
"","","","","41","43.7","41","43.7","","","","I fear we're done for!"
"","","","","45","46.5","45","46.5","","","",""
"","","","","47.5","48.6","47.5","48.6","","","","It'll be all right."
"","","","","49.6","51","49.6","51","","","","Huh?"
"","","","","53","60.8","53","60.8","","","","You know...when I was young, I...I hated my eyes. "
"","","","","61","65.2","61","65.2","","","","And now that I'm older, I hate what my body has become."
"","","","","66.3","77","66.3","77","","","","But there's something else there now. Something like...pride. You know?<LF>I mean, without all this..."
"","","","","77.5","79.5","77.5","79.5","","","","I couldn't have become your friend."
"","","","","82","87","82","87","","","","Good-bye, my friends. Thank you for everything."
"","","","","89.1","90.8","89.1","90.8","","","","Emil?"
"","","","","91","100","91","100","","","","For so long, all I could do was destroy. But now I have a chance to save something."
"","","","","100.2","101","100.2","101","","","","No!"
"","","","","104","105.9","104","105.9","","","","Now get going, okay?"
"","","","","106.2","107","106.2","107","","","","Emil!"
"","","","","108","111.6","108","111.6","","","","Don't worry about me. I'm gonna be fine!"
"","","","","116.5","118","116.5","118","","","","Emil! Emil!"
"","","","","121","126","121","126","","","","Emil, you jackass, get back here! ...EMIIIL!"
"","","","","133","135","133","135","","","","...Oh, dear."
"","","","","136","140","136","140","","","","Kainé's so unstable, and Weiss can't stop arguing with people."
"","","","","141","144.7","141","144.7","","","","I hope they can hold it together once I'm gone."
"","","","","145.9","150","145.9","150","","","","Well, I guess they'll just have to learn."
"","","","","159","161","159","161","","","","<NIER>..."
"","","","","164","166","164","166","","","","I..."
"","","","","170.7","180","170.7","180","","","","I want to...see you again. I want to see all of you again. Just one more...time."
"","","","","185","194.8","185","194.8","","","","I'm...scared. I don't want to...die..."
"","","","","204","206.9","204","206.9","","",""," "
""
