"0","2","26","4294967295","21.5","24","21.5","24","","","","　"
"","","","","34.5","36.5","34.5","36.5","","","","So this is a Replicant's potential!"
"","","","","37.2","41.5","37.2","41.5","","","","Possible futures are...blending with the time we currently inhabit!"
"","","","","41.5","42.5","41.5","42.3","","","","The light..."
"","","","","42.5","44","42.3","44","","","","I hear a song..."
"","","","","46","48.5","46","48.5","","","","...iné... ...Don't..."
"","","","","49","51","49","51","","","","...go back... Don't..."
"","","","","51.5","54","52","54","","","","Shut up, shut up, shut uuup!"
"","","","","0","1.5","0","1.5","","","","I already made up my mind!"
"","","","","2","6.5","2","6.5","","","","Nobody tells me what to do! I swore I would be a sword!"
"","","","","7.5","12","7.5","12","","","","I swore that I would be YOUR sword! Do you hear me!?"
"","","","","12.3","17","12.3","17","","","","So I am going to get you back, and I don't care what it takes!"
"","","","","17","22","17","22","","","","Who the FUCK do you think you are to just up and disappear like that, huh?"
"","","","","23","25.5","23","25.5","","","","I'M the one who gets to decide what my life means to me!"
"","","","","26","29.5","26","29.5","","","","It's MY life, and I'll do whatever I want with it!"
"","","","","30.1","34.5","30.1","34.5","","","","So quit wasting time like a brainless fuckwit and GET YOUR ASS BACK HERE NOW!"
""
