"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","Weiss, you dumbass!"
"","","","","3.36","6.06","3.36","6.06","","","","Start making sense, you rotten book, or you're gonna be sorry!"
"","","","","6.06","7.86","6.06","7.86","","","","Maybe I'll rip your pages out, one-by-one!"
"","","","","7.86","10","7.86","10","","","","Or maybe I'll put you in the goddamn furnace!"
"","","","","10","13.8","10","13.8","","","","How can someone with such a big, smart brain get hypnotized like a little bitch? Huh?"
"","","","","13.8","15.9","13.8","15.9","","","","Oh, Shadowlord! I love you, Shadowlord!"
"","","","","15.9","19","15.9","19","","","","Come over here and give Weiss a big sloppy kiss, Shadowlord!"
"","","","","19","22","19","22.5","","","","Now pull your head out of your goddamn ass and START FUCKING HELPING US!"
"","","","","24.2","26.3","24.2","26.3","","","","""1,400 years in the future..."""
"","","","","35.8","38","35.8","38","","","","""The world is on the verge of destruction..."""
""
