"0","2","26","4294967295","4","11","5","11","","","","Sem parar! Nunca! Aaaaaaaah!"
"","","","","19.5","20","19.5","20","","","","A ponte!"
"","","","","20.2","23","20.2","23","","","","Droga! Estamos p-p-presos!"
"","","","","24","25.5","24","25.5","","","","Tive uma ideia!"
"","","","","33.9","34.8","34.4","34.8","","","","......!"
"","","","","42","44","42.6","45","","","","Acho que estamos acabados!"
"","","","","45","46.5","45","46.5","","","",""
"","","","","49","50","49","50","","","","Vai ficar tudo bem."
"","","","","51","52","51","52","","","","Huh?"
"","","","","55","59.3","55","61","","","","Sabe... quando era jovem, eu... eu odiava meus olhos."
"","","","","62.7","67","63","67","","","","E agora que estou mais velho, odeio o que meu corpo se tornou."
"","","","","68.4","74","68","76","","","","Mas há algo mais lá agora. Algo como... Orgulho. Sabe? Quero dizer..."
"","","","","77.2","81","77.5","81","","","","Se não fosse por isso, eu nunca teria me tornado seu amigo."
"","","","","83.7","88","83.7","88","","","","Adeus meus amigos. Obrigado por tudo."
"","","","","90.8","91.8","90.8","91.8","","","","Emil?"
"","","","","92.5","101.3","92.5","101.3","","","","Por tanto tempo, só causei destruição. Mas agora tenho a chance de salvar algo."
"","","","","101.7","102.5","101.7","102.5","","","","Não!"
"","","","","105.5","107.5","105.5","107.5","","","","Agora continue, ok?"
"","","","","108","108.8","108","108.8","","","","Emil!"
"","","","","109.6","112","109.6","112","","","","Não se preocupe comigo. Eu vou ficar bem!"
"","","","","118","120","118","120","","","","Emil! Emil!"
"","","","","121.4","128.3","123","128.3","","","","Emil, seu idiota, volte aqui! ...EMIIIL!"
"","","","","135","136","135","136","","","","...Oh céus."
"","","","","137.5","142","137.5","142","","","","Kainé é tão instável, e Weiss não consegue parar de discutir com as pessoas."
"","","","","143","146.5","143","146.5","","","","Espero que eles consigam se virar sem mim."
"","","","","148","151","148","151","","","","Bem, acho que eles só terão que aprender."
"","","","","161","162","161","162","","","","<NIER>..."
"","","","","165.3","166.3","165.3","166.3","","","","E..."
"","","","","172.8","183","172.8","183","","","","Eu quero... ver você de novo. Eu quero ver todos vocês novamente. Só mais uma vez."
"","","","","188.3","196","188.3","196","","","","Eu... estou assustado. Não quero... morrer..."
"","","","","204","206.9","204","206.9","","","",""
""
