"0","2","26","4294967295","6.7","7.7","6.8","7.8","","","","终于。"
"","","","","8","9.2","8.2","10","","","","这里是？！"
"","","","","11","14.9","11.3","14.5","","","","好久不见啊，白之书。"
"","","","","15","18","15","18.5","","","","汝……是谁？"
"","","","","18","23.8","18.8","23","","","","呵呵呵……吾乃“黑之书”……吾即是汝。"
"","","","","24.3","26.8","24.5","26","","","","什么……？"
"","","","","26.8","33.8","26.8","32.5","","","","“白之书”，还没想起来吗？吾等真正的目的……"
"","","","","34.9","39","34.7","37","","","","别过来！别胡说八道了！"
"","","","","40","43.8","38.3","41","","","","看来汝非常不愿意想起以前的事啊……"
"","","","","44.2","47","41.5","44.5","","","","是因为会伤害到什么人吗？"
"","","","","48.6","50","48.5","49.5","","","","没这回事……！！"
"","","","","50.8","52.5","50.6","52.3","","","","太愚蠢了！"
"","","","","53","56.5","52.5","56.5","","","","吾等乃为“魔王”而生的书籍。"
"","","","","56.9","61","56.7","59","","","","不可能会背叛魔王。"
"","","","","61.3","62.5","60.8","62.5","","","","魔王……"
"","","","","62.7","65.5","62.8","65.5","","","","快想起吾等的目的。"
"","","","","65.5","69","66","68.6","","","","吾……等的目的是……"
"","","","","69.5","74.7","68.5","73.7","","","","白与黑，吾等融合，将魔物释放到世界之中。"
"","","","","74.7","81.6","73.7","80.9","","","","融合后，释放魔物……不行！吾不能干那种……事……"
"","","","","81.9","84","81","83.3","","","","无论是汝和那个小毛孩相遇，"
"","","","","85","88.5","84","86.5","","","","还是集齐“被封印的话语”，"
"","","","","89","92","86.5","90","","","","皆为吾等之王的意志。"
"","","","","92.8","96.5","91.5","95","","","","吾等……魔王……"
"","","","","99.5","106.5","99.3","103.5","","","","开始吧！展现吾等真容，让世界回归正轨！！"
"","","","","108.5","112.3","106.5","110.5","","","","汝也会与吾合为一体……"
"","","","","116","119.8","117.5","120.4","","","","一……体……"
"","","","","120.8","123","120.8","123","","","","……小白！你这……破书！"
"","","","","123.2","126.5","123.2","126.5","","","","凯……妮？"
"","","","","127.5","130.8","127.5","130.5","","","","你这破书！别在关键时刻说些莫名其妙的话！！"
"","","","","131","132.78","130.8","132.8","","","","要是不好好帮忙，"
"","","","","132.8","136","133","134.8","","","","我就真拿你当做柴火丢进壁炉烧成灰烬！你这废纸！"
"","","","","136","139.4","135","138.5","","","","你长了那张嘴就是为了挖苦我们的吧！？"
"","","","","139.4","142.2","139","141","","","","你那颗脑袋里塞满了对我们的说教吧！？"
"","","","","142.3","145.9","141.5","144.2","","","","居然把同伴抛到脑后，还说着魔王那些无聊的事。"
"","","","","146","149","144.5","148","","","","你开什么玩笑！！"
"","","","","152.3","157.9","153","159","","","","吾乃……魔王的……废？纸？"
"","","","","159.5","165.7","160","165.5","","","","吾等乃统一的系统，皆为恢复正统乐园而生的书籍。"
"","","","","166","169.7","166.3","169.7","","","","吾等合为一体乃世界之必然。"
"","","","","169.7","171.5","169.7","171.7","","","","正统……乐园……"
"","","","","171.5","175.8","171.8","175.8","","","","对。吾等正是为此而生！"
"","","","","176.2","179","176.3","178.5","","","","别走啊，小白……"
"","","","","181","183.6","181","183","","","","什么人……"
"","","","","185.95","191","185.95","191.3","","","","没关系……就算你忘了我也没关系。"
"","","","","192.7","197","192.7","198","","","","可是，我不会忘记你！"
