"0","2","26","4294967295","6.7","7.7","6.8","7.8","","","","드디어."
"","","","","8","9.2","8.2","10","","","","여기는……?!"
"","","","","11","14.9","11.3","14.5","","","","오랜만이군, 백의 서."
"","","","","15","18","15","18.5","","","","……누구지, 넌?"
"","","","","18","23.8","18.8","23","","","","크크크…… 나는 『흑의 서』 ……너 자신이다."
"","","","","24.3","26.8","24.5","26","","","","뭐라고……?"
"","","","","26.8","33.8","26.8","32.5","","","","『백의 서』, 아직 기억해 내지 못했나? 우리의 진짜 목적을……"
"","","","","34.9","39","34.7","37","","","","오지 마! 헛소리 집어치워!"
"","","","","40","43.8","38.3","41","","","","……어지간히 떠올리고 싶지 않은가 보군."
"","","","","44.2","47","41.5","44.5","","","","누군가에게 상처를 주게 되니까?"
"","","","","48.6","50","48.5","49.5","","","","무슨 그런……!!"
"","","","","50.8","52.5","50.6","52.3","","","","어리석군!"
"","","","","53","56.5","52.5","56.5","","","","우리는 『마왕』을 위해 만들어진 서책."
"","","","","56.9","61","56.7","59","","","","그분이 아닌 다른 곳을 향하는 마음이 생길 리가 없다."
"","","","","61.3","62.5","60.8","62.5","","","","마왕……"
"","","","","62.7","65.5","62.8","65.5","","","","기억해 내라, 우리의 목적을."
"","","","","65.5","69","66","68.6","","","","우리……의 목적은……"
"","","","","69.5","74.7","68.5","73.7","","","","백과 흑, 우리가 융합하여 세계에 마물을 해방하는 것."
"","","","","74.7","81.6","73.7","80.9","","","","융합하여, 마물을 해방한다…… 안 돼! 그런…… 짓……"
"","","","","81.9","84","81","83.3","","","","네가 꼬맹이와 만난 것도,"
"","","","","85","88.5","84","86.5","","","","『봉인된 말』을 모으게 한 것도,"
"","","","","89","92","86.5","90","","","","모두 우리들의 왕의 의지."
"","","","","92.8","96.5","91.5","95","","","","우리들의 마왕……"
"","","","","99.5","106.5","99.3","103.5","","","","자, 가자! 우리가 존재해야 할 모습, 바른 세계의 모습으로!!"
"","","","","108.5","112.3","106.5","110.5","","","","너도 나와 하나가 되는 것이다……"
"","","","","116","119.8","117.5","120.4","","","","하……나……"
"","","","","120.8","123","120.8","123","","","","……백! ……이 책 쪼가리야!"
"","","","","123.2","126.5","123.2","126.5","","","","……카이……네……?"
"","","","","127.5","130.8","127.5","130.5","","","","이 책 쪼가리! 중요한 순간에 이상한 소리나 지껄이고 말이야!!"
"","","","","131","132.78","130.8","132.8","","","","쥐뿔도 도움이 안 될 거면,"
"","","","","132.8","136","133","134.8","","","","장작 대신 난로에 처넣어서 진짜로 태워 버린다! 이 종이 쓰레기야!"
"","","","","136","139.4","135","138.5","","","","네 그 입은 우리한테 싫은 소리를 하기 위해 존재했던 거 아니냐!?"
"","","","","139.4","142.2","139","141","","","","네 그 머리는 우리한테 할 설교로 가득 차 있었던 거 아니냐고!!"
