"0","2","26","4294967295","1.3","7.8","1.8","7.8","","","","Vis... Vis... Vis !"
"","","","","8","10.9","8","9","","","","Mamie ?"
"","","","","11.5","15","11.5","15","","","","Kainé, tu dois vivre ! Tu dois rester avec nous !"
"","","","","26","29","26","29","","","","Oh... Salut..."
"","","","","30.8","31.5","30.8","31.5","","","","Ah !"
"","","","","46.7","51.6","46.9","51.6","","","","Émile. C'est toi qui m'appelais, n'est-ce pas ?"
"","","","","54","57","54.3","57","","","","Tu... tu me reconnais ?"
"","","","","57.3","61.8","57.5","61","","","","Évidemment. J'ai tout de suite su qui tu étais."
"","","","","62","65.5","62","65","","","","Merci, Kainé."
"","","","","67.8","69.7","67.8","70","","","","Content de te revoir, Kainé."
"","","","","72","74","72.3","74.3","","","","Ouah. Tu as grandi."
"","","","","76.6","78.7","76.6","78.7","","","","Alors... combien de temps s'est écoulé ?"
"","","","","78.8","80.5","79","80.5","","","","Cinq ans."
""
