"0","2","26","4294967295","8.5","13.5","8.5","13.5","","","","(Königin Fyra war so eine liebenswerte und sanfte Frau.)"
"","","","","14.5","17","14.5","17","","","","(Jeder in unserer Stadt hat sie geliebt, nicht wahr?)"
"","","","","19","20.5","19","20.5","","","","(Hört mich an, Maskenmänner! Wer ist Euer Oberhaupt?!)"
"","","","","21","23.5","21","23.5","","","","(Der König von Fassade!)"
"","","","","24","27","24","27","","","","(Und wer ist Eure geliebte Königin?!)"
"","","","","27.5","30","27.5","30","","","","(Königin Fyra!)"
"","","","","30.5","33","30.5","33","","","","(Wer hat den Hof mit dem Blut unserer Königin befleckt?!)"
"","","","","34.5","36.5","34.5","36.5","","","","(Die Wölfe! Die Wölfe!)"
"","","","","37","40.5","37","40.5","","","","(Und wer wird dann die Wölfe bezwingen?!)"
"","","","","41","44","41","44","","","","(Die Maskenmänner!)"
"","","","","45.5","49.5","45.5","49.5","","","","(Herr, ich bitte um Erlaubnis, mich diesen Männern in der Schlacht anzuschließen.)"
"","","","","51","54.5","51","54.5","","","","(Verzeiht, es hat eine Weile gedauert,<LF>den Segen aller Bürger für den Krieg zu erbitten.)"
"","","","","55.5","57","55.5","57","","","","(Ihr habt sie ... alle besucht?)"
"","","","","58","63","58","63","","","","(Das habe ich, mein Gebieter. Immerhin gibt es Regeln für solche Dinge.)"
"","","","","63.7","64.5","63.7","64.5","","","","(Regeln ...)"
"","","","","65","69","65","69","","","","(... existieren nicht, um einen einzuschränken.<LF>Sie existieren, um einem Freiheiten aufzuzeigen.)"
"","","","","70","71","70","71","","","","(Ich ... Ja. Jetzt verstehe ich.)"
"","","","","72","76","72","76","","","","(Mein Gebieter, Ihr seid ein würdiger Nachfolger Eures Vaters.)"
"","","","","76.5","78","76.5","78","","","","(Ihr ...)"
"","","","","79","84","79","84","","","","(Ein törichter König zieht törichte Menschen an. Vergesst das nicht.)"
"","","","","84.5","88","84.5","88","","","","(Ihr seid in der Tat ein törichtes Volk,<LF>wenn ihr für einen Narren wie mich so viel opfern wollt.)"
""
