"0","2","26","4294967295","5.3","11","5.3","11","","","","デボルッ！デボルッ！"
"","","","","21.5","26.4","24","26.6","","","","は……ははっ……ポポル。泣いてるのか？"
"","","","","27.1","30","27.3","30","","","","デボル！死んではダメ！"
"","","","","30.8","34.7","31","34.9","","","","あたし達が……なぜ双子に作られたか。"
"","","","","35.95","41.3","36.5","41.3","","","","今、わかった……魂のないあたし達が……"
"","","","","42","48.5","43","48.8","","","","喋らないでっ！血が……血が止まらない！デボル！！"
"","","","","49","57.9","49","57.9","","","","……一人で生きるには……この世界は寂しすぎるんだ。時間が永すぎるんだ。"
"","","","","64.7","73","65","73","","","","涙は流せるのに……魂がないなんて……本当……に、おかしな話だよ。"
"","","","","75","78","75","78","","","","……ごめんな……ポポ……ル。"
"","","","","78.5","84","78.3","83","","","","いやっ！デボル、置いていかないで！"
"","","","","84","87.6","84.5","87","","","","わたしを１人にしないでッ。"
"","","","","87.8","92","89","91","","","","いやだっ！いやあああああああっ！"
"","","","","98.9","103.4","99.4","103.4","","","","ポポルさん……もうやめよう……"
"","","","","105.6","111.1","106.3","111.1","","","","やめよう？やめよう？やめようって？"
"","","","","114.1","117.4","114.1","117.4","","","","オマエにそんな自由があると思ッテルの？"
"","","","","118.3","122.5","118.3","124","","","","……デボルを殺しておきながら……ヨクモそんな。"
"","","","","124.4","126.25","124.8","126.25","","","","やめてください！今ならまだ……"
"","","","","126.4","129.3","126.9","130.8","","","","もう遅ェンだよッ！何もかもッ。"
"","","","","129.4","132.5","131.2","133","","","","みんな殺す！コロしてやる！"
""
