"0","2","26","4294967295","4","11","5","11","","","","我要杀……了……你们！！！啊啊啊啊啊啊啊！"
"","","","","19.5","20","19.5","20","","","","桥被……"
"","","","","20.2","23","20.2","23","","","","糟了！没没没没、没法前进了。"
"","","","","24","25.5","24","25.5","","","","我来想办法！"
"","","","","33.9","34.8","34.4","34.8","","","","啊！"
"","","","","42","44","42.6","45","","","","不行吗！可恶！"
"","","","","45","46.5","45","46.5","","","",""
"","","","","49","50","49","50","","","","没问题的！"
"","","","","51","52","51","52","","","","？"
"","","","","55","59.3","55","61","","","","我……无论是少年时期会让人石化的眼睛，"
"","","","","62.7","67","63","67","","","","还是这幅丑陋的身体，都让我非常厌恶自己。"
"","","","","68.4","74","68","76","","","","可是，这同时也是我的“骄傲”。因为……多亏了这些，"
"","","","","77.2","81","77.5","81","","","","我才能……成为各位的同伴。"
"","","","","83.7","88","83.7","88","","","","谢谢各位。"
"","","","","90.8","91.8","90.8","91.8","","","","艾米尔？"
"","","","","92.5","101.3","92.5","101.3","","","","能够成为“保护”他人的武器，我心存感激。"
"","","","","101.7","102.5","101.7","102.5","","","","不要啊。"
"","","","","105.5","107.5","105.5","107.5","","","","行了，你们快走吧！"
"","","","","108","108.8","108","108.8","","","","艾米尔！"
"","","","","109.6","112","109.6","112","","","","我会没事的。"
"","","","","118","120","118","120","","","","艾米尔！艾米尔！"
"","","","","121.4","128.3","123","128.3","","","","艾米尔！艾米尔！艾米尔！艾米————尔！"
"","","","","135","136","135","136","","","","哎呀哎呀……"
"","","","","137.5","142","137.5","142","","","","凯妮姐很粗暴，小白又很唠叨，"
"","","","","143","146.5","143","146.5","","","","希望他们别在关键时刻吵架。"
"","","","","148","151","148","151","","","","毕竟……我已经没法劝架了。"
"","","","","161","162","161","162","","","","<NIER>……"
"","","","","165.3","166.3","165.3","166.3","","","","我……"
"","","","","172.8","183","172.8","183","","","","我想再……见你……一次。再……见你……"
"","","","","188.3","196","188.3","196","","","","我真的不想死啊……我……不想死的……"
"","","","","204","206.9","204","206.9","","","",""
""
