"0","2","26","4294967295","4","11","5","11","","","","可惡，殺了……你……們！！！啊啊啊啊啊啊啊！"
"","","","","19.5","20","19.5","20","","","","橋！"
"","","","","20.2","23","20.2","23","","","","糟糕！沒沒沒沒沒辦法前進了。"
"","","","","24","25.5","24","25.5","","","","讓我來想辦法！"
"","","","","33.9","34.8","34.4","34.8","","","","啊！"
"","","","","42","44","42.6","45","","","","行不通嗎！可惡！"
"","","","","45","46.5","45","46.5","","","",""
"","","","","49","50","49","50","","","","沒問題的。"
"","","","","51","52","51","52","","","","？"
"","","","","55","59.3","55","61","","","","我……很痛恨少年時期會將人石化的雙眼，"
"","","","","62.7","67","63","67","","","","還有身體變成這醜陋的模樣。"
"","","","","68.4","74","68","76","","","","但同時卻也感到『驕傲』。因為……多虧我變成這副模樣，"
"","","","","77.2","81","77.5","81","","","","才能跟大家……成為夥伴。"
"","","","","83.7","88","83.7","88","","","","各位，謝謝你們。"
"","","","","90.8","91.8","90.8","91.8","","","","艾米爾？"
"","","","","92.5","101.3","92.5","101.3","","","","我很感激自己現在成了可以『守護』人們的兵器。"
"","","","","101.7","102.5","101.7","102.5","","","","別這樣。"
"","","","","105.5","107.5","105.5","107.5","","","","好了，請你們前進吧！"
"","","","","108","108.8","108","108.8","","","","艾米爾！"
"","","","","109.6","112","109.6","112","","","","我沒事的。"
"","","","","118","120","118","120","","","","艾米爾！艾米爾！"
"","","","","121.4","128.3","123","128.3","","","","艾米爾！艾米爾！艾米爾！艾米──────爾！"
"","","","","135","136","135","136","","","","……唉唉。"
"","","","","137.5","142","137.5","142","","","","凱寧姊那麼粗暴，小白先生又那麼囉嗦，"
"","","","","143","146.5","143","146.5","","","","希望在重要時刻別吵起來才好啊。"
"","","","","148","151","148","151","","","","……因為我已經沒辦法勸架了。"
"","","","","161","162","161","162","","","","<NIER>哥……"
"","","","","165.3","166.3","165.3","166.3","","","","我……"
"","","","","172.8","183","172.8","183","","","","我真想再……見你……一面。再見……到你……"
"","","","","188.3","196","188.3","196","","","","我不想死……真不想……死啊……"
"","","","","204","206.9","204","206.9","","","",""
""
