"0","2","26","4294967295","4","11","5","11","","","","No stopping! No stopping ever! Aaaaaaaah!"
"","","","","19.5","20","19.5","20","","","","The bridge!"
"","","","","20.2","23","20.2","23","","","","Blast! We're t-t-trapped!"
"","","","","24","25.5","24","25.5","","","","I've got an idea!"
"","","","","33.9","34.8","34.4","34.8","","","","......!"
"","","","","42","44","42.6","45","","","","I fear we're done for!"
"","","","","45","46.5","45","46.5","","","",""
"","","","","49","50","49","50","","","","It'll be all right."
"","","","","51","52","51","52","","","","Huh?"
"","","","","55","59.3","55","61","","","","You know...when I was young, I...I hated my eyes. "
"","","","","62.7","67","63","67","","","","And now that I'm older, I hate what my body has become."
"","","","","68.4","74","68","76","","","","But there's something else there now. Something like...pride. You know? I mean..."
"","","","","77.2","81","77.5","81","","","","Without all this, I couldn't have become your friend."
"","","","","83.7","88","83.7","88","","","","Good-bye, my friends. Thank you for everything."
"","","","","90.8","91.8","90.8","91.8","","","","Emil?"
"","","","","92.5","101.3","92.5","101.3","","","","For so long, all I could do was destroy. But now I have a chance to save something."
"","","","","101.7","102.5","101.7","102.5","","","","No!"
"","","","","105.5","107.5","105.5","107.5","","","","Now get going, okay?"
"","","","","108","108.8","108","108.8","","","","Emil!"
"","","","","109.6","112","109.6","112","","","","Don't worry about me. I'm gonna be fine!"
"","","","","118","120","118","120","","","","Emil! Emil!"
"","","","","121.4","128.3","123","128.3","","","","Emil, you jackass, get back here! ...EMIIIL!"
"","","","","135","136","135","136","","","","...Oh, dear."
"","","","","137.5","142","137.5","142","","","","Kainé's so unstable, and Weiss can't stop arguing with people."
"","","","","143","146.5","143","146.5","","","","I hope they can hold it together once I'm gone."
"","","","","148","151","148","151","","","","Well, I guess they'll just have to learn."
"","","","","161","162","161","162","","","","<NIER>..."
"","","","","165.3","166.3","165.3","166.3","","","","I..."
"","","","","172.8","183","172.8","183","","","","I want to...see you again. I want to see all of you again. Just one more time."
"","","","","188.3","196","188.3","196","","","","I'm...scared. I don't want to...die..."
"","","","","204","206.9","204","206.9","","",""," "
""
