"0","2","26","4294967295","4","11","5","11","","","","¡Nada de parar! ¡Nunca! ¡Aaah!"
"","","","","19.5","20","19.5","20","","","","¡El puente!"
"","","","","20.2","23","20.2","23","","","","¡Maldita sea! ¡Estamos a-a-a-atrapados!"
"","","","","24","25.5","24","25.5","","","","¡Tengo una idea!"
"","","","","33.9","34.8","34.4","34.8","","","","......!"
"","","","","42","44","42.6","45","","","","¡Me temo que estamos acabados!"
"","","","","45","46.5","45","46.5","","","",""
"","","","","49","50","49","50","","","","Va a salir bien."
"","","","","51","52","51","52","","","","¿Eh?"
"","","","","55","59.3","55","61","","","","Sabéis... cuando era un niño, yo... odiaba mis ojos. "
"","","","","62.7","67","63","67","","","","Y, ahora que soy más mayor, odio en lo que se ha convertido mi cuerpo."
"","","","","68.4","74","68","76","","","","Pero ahora hay algo más. Algo como... orgullo. ¿Sabéis? Quiero decir que..."
"","","","","77.2","81","77.5","81","","","","Si no llega a ser por esto, nunca habría sido vuestro amigo."
"","","","","83.7","88","83.7","88","","","","Adiós, amigos míos. Gracias por todo."
"","","","","90.8","91.8","90.8","91.8","","","","¿Emil?"
"","","","","92.5","101.3","92.5","101.3","","","","Durante mucho tiempo, lo único que podía hacer era destruir. Pero ahora tengo la oportunidad de salvar algo."
"","","","","101.7","102.5","101.7","102.5","","","","¡No!"
"","","","","105.5","107.5","105.5","107.5","","","","Venga, andando."
"","","","","108","108.8","108","108.8","","","","¡Emil!"
"","","","","109.6","112","109.6","112","","","","¡No os preocupéis! ¡Estaré bien!"
"","","","","118","120","118","120","","","","¡Emil! ¡Emil!"
"","","","","121.4","128.3","123","128.3","","","","¡Emil, gilipollas, vuelve aquí! ¡¡¡Emil!!!"
"","","","","135","136","135","136","","","","Ay, señor..."
"","","","","137.5","142","137.5","142","","","","Kainé es muy inestable, y Weiss siempre está discutiendo con la gente."
"","","","","143","146.5","143","146.5","","","","Espero que puedan apañárselas sin mí."
"","","","","148","151","148","151","","","","Bueno, supongo que tendrán que aprender a hacerlo."
"","","","","161","162","161","162","","","","Chicos..."
"","","","","165.3","166.3","165.3","166.3","","","","Yo..."
"","","","","172.8","183","172.8","183","","","","Quiero... volver a verte. Quiero volver a veros a todos. Solo una vez más."
"","","","","188.3","196","188.3","196","","","","Estoy... asustado. No quiero... morir..."
"","","","","204","206.9","204","206.9","","","",""
""
