"0","2","26","4294967295","3","8.2","3","8.2","","","","Es gibt kein Aufhören! Niemals! Aaaaaah!"
"","","","","17.8","18.8","17.8","18.8","","","","Die Brücke!"
"","","","","18.9","21.5","18.9","21.5","","","","Verdammt! Wir sitzen in der F-F-F-Falle!"
"","","","","22.7","25","22.7","25","","","","Ich habe eine Idee!"
"","","","","32.5","33.5","32.5","33.5","","","","...!"
"","","","","41","43.7","41","43.7","","","","Ich fürchte, wir sind erledigt!"
"","","","","45","46.5","45","46.5","","","",""
"","","","","47.5","48.6","47.5","48.6","","","","Alles wird gut werden."
"","","","","49.6","51","49.6","51","","","","Hm?"
"","","","","53","60.8","53","60.8","","","","Wisst ihr, ... als ich jung war, habe ich ... Ich habe meine Augen gehasst."
"","","","","61","65.2","61","65.2","","","","Und da ich nun älter bin, hasse ich, was aus meinem Körper geworden ist."
"","","","","66.3","77","66.3","77","","","","Aber da ist auch etwas anderes. Etwas wie ... Stolz. Wisst ihr?<LF>Ich meine, ohne all dies ..."
"","","","","77.5","79.5","77.5","79.5","","","","... wäre ich nie euer Freund geworden."
"","","","","82","87","82","87","","","","Auf Wiedersehen, meine Freunde. Vielen Dank für alles."
"","","","","89.1","90.8","89.1","90.8","","","","Emil?"
"","","","","91","100","91","100","","","","Für lange Zeit war Zerstörung alles, was ich anrichten konnte.<LF>Aber nun habe ich die Chance, etwas zu retten."
"","","","","100.2","101","100.2","101","","","","Nein!"
"","","","","104","105.9","104","105.9","","","","Und jetzt macht schon, in Ordnung?"
"","","","","106.2","107","106.2","107","","","","Emil!"
"","","","","108","111.6","108","111.6","","","","Macht euch keine Sorgen. Alles wird gut!"
"","","","","116.5","118","116.5","118","","","","Emil! Emil!"
"","","","","121","126","121","126","","","","Emil, du Blödmann, komm zurück! ... EMIIIL!"
"","","","","133","135","133","135","","","","... Oje."
"","","","","136","140","136","140","","","","Kainé ist so wankelmütig, und Weiss kann es nicht lassen, mit Leuten zu diskutieren."
"","","","","141","144.7","141","144.7","","","","Ich hoffe, sie kriegen alles hin, wenn ich nicht mehr da bin."
"","","","","145.9","150","145.9","150","","","","Tja, ich denke, sie werden es lernen müssen."
"","","","","159","161","159","161","","","","<NIER> ..."
"","","","","164","166","164","166","","","","Ich ..."
"","","","","170.7","180","170.7","180","","","","Ich will ... euch wiedersehen. Ich will euch alle wiedersehen.<LF>Nur ein einziges ... Mal."
"","","","","185","194.8","185","194.8","","","","Ich ... habe Angst. Ich will nicht ... sterben ..."
"","","","","204","206.9","204","206.9","","","",""
""
