"0","2","26","4294967295","3","8.2","3","8.2","","","","Arrêter ? Non ! Ça n'arrêtera jamais ! Aaaaaaaah !"
"","","","","17.8","18.8","17.8","18.8","","","","Le pont !"
"","","","","18.9","21.5","18.9","21.5","","","","Malédiction ! Nous sommes pi... pié... piégés !"
"","","","","22.7","25","22.7","25","","","","J'ai une idée !"
"","","","","32.5","33.5","32.5","33.5","","","","......!"
"","","","","41","43.7","41","43.7","","","","J'ai bien peur que notre route s'arrête ici !"
"","","","","45","46.5","45","46.5","","","",""
"","","","","47.5","48.6","47.5","48.6","","","","Tout va bien se passer."
"","","","","49.6","51","49.6","51","","","","Hein ?"
"","","","","53","60.8","53","60.8","","","","Vous savez... quand j'étais jeune, je... je haïssais mes yeux."
"","","","","61","65.2","61","65.2","","","","Et maintenant que j'ai vieilli, je hais ce que mon corps est devenu."
"","","","","66.3","77","66.3","77","","","","Mais il y a quelque chose en plus. Une sorte de fierté... Vous voyez ?<LF>Et puis, sans tout ça..."
"","","","","77.5","79.5","77.5","79.5","","","","Je n'aurais jamais pu devenir votre ami."
"","","","","82","87","82","87","","","","Adieu, mes amis. Merci pour tout."
"","","","","89.1","90.8","89.1","90.8","","","","Émile ?"
"","","","","91","100","91","100","","","","Longtemps, je ne pouvais que détruire. Aujourd'hui, j'ai enfin une chance de pouvoir sauver quelque chose."
"","","","","100.2","101","100.2","101","","","","Non !"
"","","","","104","105.9","104","105.9","","","","Maintenant, poursuivez votre route, d'accord ?"
"","","","","106.2","107","106.2","107","","","","Émile !"
"","","","","108","111.6","108","111.6","","","","Ne vous inquiétez pas pour moi. Je vais m'en sortir !"
"","","","","116.5","118","116.5","118","","","","Émile ! Émile !"
"","","","","121","126","121","126","","","","Émile, espèce d'abruti, reviens ici ! ÉMIIILE !"
"","","","","133","135","133","135","","","","Oh là là..."
"","","","","136","140","136","140","","","","Kainé est vraiment instable, et Weiss n'arrête pas de se disputer avec les autres."
"","","","","141","144.7","141","144.7","","","","J'espère qu'ils arriveront à rester soudés quand je ne serais plus là."
"","","","","145.9","150","145.9","150","","","","Enfin bon, j'imagine qu'ils devront se débrouiller."
"","","","","159","161","159","161","","","","<NIER>..."
"","","","","164","166","164","166","","","","Je..."
"","","","","170.7","180","170.7","180","","","","Je veux... te revoir. Je veux tous vous revoir. Juste une... dernière fois."
"","","","","185","194.8","185","194.8","","","","J'ai peur... Je ne veux pas mourir..."
"","","","","204","206.9","204","206.9","","","","  "
""
