"0","2","26","4294967295","3","8.2","3","8.2","","","","Vi basta? Vi basta?? Aaaaaaaah!"
"","","","","17.8","18.8","17.8","18.8","","","","Il ponte!"
"","","","","18.9","21.5","18.9","21.5","","","","Diamine! Siamo in t-t-t-t-trappola!"
"","","","","22.7","25","22.7","25","","","","Mi è venuta un'idea!"
"","","","","32.5","33.5","32.5","33.5","","","","......!"
"","","","","41","43.7","41","43.7","","","","Siamo spacciati!"
"","","","","45","46.5","45","46.5","","","",""
"","","","","47.5","48.6","47.5","48.6","","","","Andrà tutto bene!"
"","","","","49.6","51","49.6","51","","","","Eh?"
"","","","","53","60.8","53","60.8","","","","Sapete... Da piccolo... detestavo i miei occhi. "
"","","","","61","65.2","61","65.2","","","","Ora che sono grande, detesto il mio aspetto."
"","","","","66.3","77","66.3","77","","","","Ma c'è anche qualcos'altro. Mi sento... colmo di orgoglio.<LF>Sapete, senza tutto questo..."
"","","","","77.5","79.5","77.5","79.5","","","","non sarei diventato vostro amico."
"","","","","82","87","82","87","","","","Addio, amici. Grazie di tutto."
"","","","","89.1","90.8","89.1","90.8","","","","Emil?"
"","","","","91","100","91","100","","","","Sono stato creato per distruggere, ma ora ho la possibilità di fare qualcosa di buono."
"","","","","100.2","101","100.2","101","","","","No!"
"","","","","104","105.9","104","105.9","","","","Ora, andate via."
"","","","","106.2","107","106.2","107","","","","Emil!"
"","","","","108","111.6","108","111.6","","","","Non preoccupatevi per me! Andrà tutto bene!"
"","","","","116.5","118","116.5","118","","","","Emil! Emil!"
"","","","","121","126","121","126","","","","Emil, razza di idiota! Torna subito qui! ... EMIL!"
"","","","","133","135","133","135","","","","Oh, santo cielo."
"","","","","136","140","136","140","","","","Kainé è una squilibrata e Weiss litigherebbe con chiunque."
"","","","","141","144.7","141","144.7","","","","Spero che riescano a stare uniti anche senza di me."
"","","","","145.9","150","145.9","150","","","","Beh, prima o poi dovranno pur cavarsela da soli."
"","","","","159","161","159","161","","","","<NIER>..."
"","","","","164","166","164","166","","","","Voglio..."
"","","","","170.7","180","170.7","180","","","","Voglio... rivedervi. Tutti quanti. Anche solo... per un'ultima volta."
"","","","","185","194.8","185","194.8","","","","Ho... Ho paura. Non voglio... morire..."
"","","","","204","206.9","204","206.9","","","",""
""
