"0","2","26","4294967295","3","8.2","3","8.2","","","","このっ、オマエ……ラ……コロス！！！アアアアアアアッ！"
"","","","","17.8","18.8","17.8","18.8","","","","橋が！"
"","","","","18.9","21.5","18.9","21.5","","","","まずい！スススス、進めなくなるぞ。"
"","","","","22.7","25","22.7","25","","","","ぼくが何とかします！"
"","","","","32.5","33.5","32.5","33.5","","","","あ！"
"","","","","41","43.7","41","43.7","","","","だめか！クソッ！"
"","","","","45","46.5","45","46.5","","","",""
"","","","","47.5","48.6","47.5","48.6","","","","だいじょうぶです！"
"","","","","49.6","51","49.6","51","","","","？"
"","","","","53","60.8","53","60.8","","","","ぼく……少年だった頃の石化させてしまう目も、"
"","","","","61","65.2","61","65.2","","","","この醜い体になってからの姿も、本当に嫌でした。"
"","","","","66.3","77","66.3","77","","","","だけど、同時に『誇り』でした。だって……この姿のおかげで、"
"","","","","77.5","79.5","77.5","79.5","","","","みんなと……仲間になれたもの。"
"","","","","82","87","82","87","","","","みなさん、ありがとうございます。"
"","","","","89.1","90.8","89.1","90.8","","","","エミール？"
"","","","","91","100","91","100","","","","今、人を『守る』ための兵器になれること、本当に感謝しています。"
"","","","","100.2","101","100.2","101","","","","よせっ。"
"","","","","104","105.9","104","105.9","","","","さあ、行ってください！"
"","","","","106.2","107","106.2","107","","","","エミール！"
"","","","","108","111.6","108","111.6","","","","ぼくなら、だいじょうぶですから。"
"","","","","116.5","118","116.5","118","","","","エミール！エミールッ！"
"","","","","121","126","121","126","","","","エミール！エミール！エミール！エミーーーーール！"
"","","","","133","135","133","135","","","","……やれやれ。"
"","","","","136","140","136","140","","","","カイネさんは乱暴だし、シロさんは口うるさいし、"
"","","","","141","144.7","141","144.7","","","","肝心な時に、ケンカしないといいけれど。"
"","","","","145.9","150","145.9","150","","","","……もう、ぼくは仲裁できませんからね。"
"","","","","159","161","159","161","","","","<NIER>さん……"
"","","","","164","166","164","166","","","","ぼく……"
"","","","","170.7","180","170.7","180","","","","あなたにもう一度……会い……たい。あなた……に……"
"","","","","185","194.8","185","194.8","","","","死にたくないなあ……死にたく……ないよお……"
"","","","","204","206.9","204","206.9","","","",""
""
