"0","2","26","4294967295","3","8.2","3","8.2","","","","이, 네놈……들…… 죽이겠다!!! 아아아아아아앗!"
"","","","","17.8","18.8","17.8","18.8","","","","다리가!"
"","","","","18.9","21.5","18.9","21.5","","","","큰일이다! 아아아아, 앞으로 못 가게 되겠는걸."
"","","","","22.7","25","22.7","25","","","","제가 어떻게든 할게요!"
"","","","","32.5","33.5","32.5","33.5","","","","아!"
"","","","","41","43.7","41","43.7","","","","안 되나! 젠장!"
"","","","","45","46.5","45","46.5","","","",""
"","","","","47.5","48.6","47.5","48.6","","","","괜찮아요!"
"","","","","49.6","51","49.6","51","","","","?"
"","","","","53","60.8","53","60.8","","","","저…… 소년이었을 때의 석화시키는 눈도"
"","","","","61","65.2","61","65.2","","","","이 흉한 몸이 된 후의 모습도 정말로 싫었어요."
"","","","","66.3","77","66.3","77","","","","그렇지만, 동시에 『자랑』이었어요. 왜냐면…… 이 모습 덕에,"
"","","","","77.5","79.5","77.5","79.5","","","","여러분과…… 동료가 됐으니까."
"","","","","82","87","82","87","","","","여러분, 감사했어요."
"","","","","89.1","90.8","89.1","90.8","","","","에밀?"
"","","","","91","100","91","100","","","","지금, 사람을 『지키기』 위한 병기가 될 수 있어서 정말 감사해요."
"","","","","100.2","101","100.2","101","","","","그만둬."
"","","","","104","105.9","104","105.9","","","","자, 가 주세요!"
"","","","","106.2","107","106.2","107","","","","에밀!"
"","","","","108","111.6","108","111.6","","","","저라면 괜찮을 테니까."
"","","","","116.5","118","116.5","118","","","","에밀! 에밀!"
"","","","","121","126","121","126","","","","에밀! 에밀! 에밀! 에밀------!"
"","","","","133","135","133","135","","","","……휴우."
"","","","","136","140","136","140","","","","카이네 씨는 괴팍하고, 백 씨는 잔소리가 많고,"
"","","","","141","144.7","141","144.7","","","","중요한 순간에 싸우지 말아야 할 텐데."
"","","","","145.9","150","145.9","150","","","","……이제 제가 중재할 수 없으니까요."
"","","","","159","161","159","161","","","","<NIER> 씨……"
"","","","","164","166","164","166","","","","나……"
"","","","","170.7","180","170.7","180","","","","당신을 다시 한번…… 만나고…… 싶어. 당신……을……"
"","","","","185","194.8","185","194.8","","","","죽고 싶지 않아…… 죽고 싶지…… 않아……"
"","","","","204","206.9","204","206.9","","","",""
""
