"0","2","26","4294967295","16","17.5","16","17.5","","","","Kainé..."
"","","","","37.3","41","37.6","41","","","","Kainé, vamos a volver a casa."
"","","","","43.1","44.5","43.5","44.5","","","","¿Puedes oírme?"
"","","","","45.9","51.3","46.3","51.5","","","","Me he tirado años dentro del cuerpo de Kainé. Atormentándola desde el interior."
"","","","","52.2","57.9","52.5","57.9","","","","He sentido su dolor, sus emociones, como si fueran las mías."
"","","","","59","62","59.3","63","","","","Y había tantísimo dolor..."
"","","","","63.1","68.2","63.7","68.2","","","","Así que, cuando digo que ahora es libre, quiero que me creas."
"","","","","69.3","75","69.8","75","","","","Gracias a ti, Kainé ha sido perdonada. Y salvada."
"","","","","77","79.8","77.5","80.5","","","","Ah, espera. Tiene un último mensaje para ti..."
"","","","","81.5","83","82","83","","","","Gracias."
"","","","","86.8","88","87","88","","","","Kainé..."
"","","","","106.6","112","107","112.3","","","","Siempre estaremos juntos."
""
