"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","Weiss, du Volltrottel!"
"","","","","3.36","6.06","3.36","6.06","","","","Komm zur Vernunft, du verfaultes Buch, sonst wird es dir noch leid tun!"
"","","","","6.06","7.86","6.06","7.86","","","","Vielleicht werde ich deine Seiten rausreißen, eine nach der anderen!"
"","","","","7.86","10","7.86","10","","","","Oder dich in den verdammten Ofen werfen!"
"","","","","10","13.8","10","13.8","","","","Wie kann sich jemand mit einem so großen, klugen Hirn wie ein<LF>kleines Flittchen hypnotisieren lassen? Hm?"
"","","","","13.8","15.9","13.8","15.9","","","","Oh, Schattenfürst! Ich liebe dich, Schattenfürst!"
"","","","","15.9","19","15.9","19","","","","Komm hierhin und gib Weiss einen dicken Kuss, Schattenfürst!"
"","","","","19","22","19","22.5","","","","Nun zieh deinen Kopf aus deinem verdammten Arsch UND HILF UNS, VERFLUCHT NOCH MAL!"
"","","","","24.2","26.3","24.2","26.3","","","","""1.400 Jahre in der Zukunft ..."""
"","","","","35.8","38","35.8","38","","","","""Die Welt steht am Rande der Vernichtung ..."""
""
