"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","¡Weiss, so gilipollas!"
"","","","","3.36","6.06","3.36","6.06","","","","¡Como no dejes ya las tonterías, te vas a enterar, tomo podrido!"
"","","","","6.06","7.86","6.06","7.86","","","","¡Te arrancaré las páginas una a una!"
"","","","","7.86","10","7.86","10","","","","¡O lo mismo te meto en el puto horno!"
"","","","","10","13.8","10","13.8","","","","¿Cómo puede caer hipnotizado como un mierdecilla alguien tan inteligente? ¿Eh?"
"","","","","13.8","15.9","13.8","15.9","","","","¡Oh, Señor de las sombras! ¡Te quiero, Señor de las sombras!"
"","","","","15.9","19","15.9","19","","","","¡Ven para acá y dale a Weiss un buen morreo con lengua, Señor de las sombras!"
"","","","","19","22","19","22.5","","","","¡Ahora espabila de una puta vez y empieza a ser útil, coño!"
"","","","","24.2","26.3","24.2","26.3","","","","""1400 años más tarde…"""
"","","","","35.8","38","35.8","38","","","","""El mundo está al borde de la destrucción..."""
""
