"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","Weiss ! Espèce d'abruti !"
"","","","","3.36","6.06","3.36","6.06","","","","Ressaisis-toi, bouquin pourri, ou tu vas le regretter !"
"","","","","6.06","7.86","6.06","7.86","","","","Je vais t'arracher les pages, une par une !"
"","","","","7.86","10","7.86","10","","","","Ou alors te jeter dans un putain de fourneau !"
"","","","","10","13.8","10","13.8","","","","Comment un être si intelligent peut-il se faire hypnotiser comme une vulgaire petite garce ? Hein ?!"
"","","","","13.8","15.9","13.8","15.9","","","","Oh, Maître des Ombres ! Je t'aime tellement, Maître des Ombres !"
"","","","","15.9","19","15.9","19","","","","Oh, Maître des Ombres ! Viens donner un gros baiser bien baveux à Weiss !"
"","","","","19","22","19","22.5","","","","Maintenant, sors ta foutue tête de ton cul et donne-nous un PUTAIN DE COUP DE MAIN !"
"","","","","24.2","26.3","24.2","26.3","","","","""1 400 ans dans le futur..."""
"","","","","35.8","38","35.8","38","","","","""La fin du monde est imminente..."""
""
