"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","……シロッ！……このクソ本っ！"
"","","","","3.36","6.06","3.36","6.06","","","","このクソ本！肝心な時にわけわかんねー事、言ってるんじゃねえ！！"
"","","","","6.06","7.86","6.06","7.86","","","","ろくすっぽ役に立たないんだったら、"
"","","","","7.86","10","7.86","10","","","","薪替わりに暖炉にブチ込んで、本気で燃やすぞ！このクズ紙！"
"","","","","10","13.8","10","13.8","","","","おまえのその口は、私達に嫌味を言う為にあったのだろう！？"
"","","","","13.8","15.9","13.8","15.9","","","","おまえのその頭は、私達への説教で一杯だったはずだろう！？"
"","","","","15.9","19","15.9","19","","","","仲間を忘れて、魔王がどうだのこうだのと眠たい事言いやがって。"
"","","","","19","22","19","22.5","","","","ふざけてんじゃねえぞ！！"
"","","","","24.2","26.3","24.2","26.3","","","","【１４００年後の未来】"
"","","","","35.8","38","35.8","38","","","","【滅び行く世界】"
""
