"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","……백! ……이 책 쪼가리야!"
"","","","","3.36","6.06","3.36","6.06","","","","이 책 쪼가리! 중요한 순간에 이상한 소리나 지껄이고 말이야!!"
"","","","","6.06","7.86","6.06","7.86","","","","쥐뿔도 도움이 안 될 거면,"
"","","","","7.86","10","7.86","10","","","","장작 대신 난로에 처넣어서 진짜로 태워 버린다! 이 종이 쓰레기야!"
"","","","","10","13.8","10","13.8","","","","네 그 입은 우리한테 싫은 소리를 하기 위해 존재했던 거 아니냐!?"
"","","","","13.8","15.9","13.8","15.9","","","","네 그 머리는 우리한테 할 설교로 가득 차 있었던 거 아니냐고!!"
"","","","","15.9","19","15.9","19","","","","동료를 잊고 마왕이 이랬네 저랬네 잠꼬대나 지껄이다니."
"","","","","19","22","19","22.5","","","","웃기고 자빠졌네!!"
"","","","","24.2","26.3","24.2","26.3","","","","【1400년 후의 미래】"
"","","","","35.8","38","35.8","38","","","","【멸망해 가는 세계】"
""
