"0","2","26","4294967295","0.2","2","0.2","2","","","","……シロッ！……このクソ本っ！"
"","","","","2.5","5.5","2.3","5.5","","","","このクソ本！肝心な時にわけわかんねー事、言ってるんじゃねえ！！"
"","","","","5.5","7.8","5.5","7.5","","","","ろくすっぽ役に立たないんだったら、"
"","","","","7.8","9.7","7.5","9.4","","","","薪替わりに暖炉にブチ込んで、本気で燃やすぞ！このクズ紙！"
"","","","","9.8","13.1","9.8","13.2","","","","おまえのその口は、私達に嫌味を言う為にあったのだろう！？"
"","","","","13.3","15.3","13.4","15.2","","","","おまえのその頭は、私達への説教で一杯だったはずだろう！？"
"","","","","15.4","20.8","15.3","18.3","","","","仲間を忘れて、魔王がどうだのこうだのと眠たい事言いやがって。"
"","","","","21","22.5","18.3","22.5","","","","ふざけてんじゃねえぞ！！"
"","","","","24","26","24.2","26.3","","","","１４００年後の未来"
"","","","","35.5","37.8","35.8","38","","","","滅び行く世界"
""
