"0","2","26","4294967295","0.2","2","0.2","2","","","","……백! ……이 책 쪼가리야!"
"","","","","2.5","5.5","2.3","5.5","","","","이 책 쪼가리! 중요한 순간에 이상한 소리나 지껄이고 말이야!!"
"","","","","5.5","7.8","5.5","7.5","","","","쥐뿔도 도움이 안 될 거면,"
"","","","","7.8","9.7","7.5","9.4","","","","장작 대신 난로에 처넣어서 진짜로 태워 버린다! 이 종이 쓰레기야!"
"","","","","9.8","13.1","9.8","13.2","","","","네 그 입은 우리한테 싫은 소리를 하기 위해 존재했던 거 아니냐!?"
"","","","","13.3","15.3","13.4","15.2","","","","네 그 머리는 우리한테 할 설교로 가득 차 있었던 거 아니냐고!!"
"","","","","15.4","20.8","15.3","18.3","","","","동료를 잊고 마왕이 이랬네 저랬네 잠꼬대나 지껄이다니."
"","","","","21","22.5","18.3","22.5","","","","웃기고 자빠졌네!!"
"","","","","24","26","24.2","26.3","","","","1400년 후의 미래"
"","","","","35.5","37.8","35.8","38","","","","멸망해 가는 세계"
""
