"0","2","26","4294967295","30.5","33","30.9","32.5","","","","Você pode salvar Yonah, Weiss."
"","","","","34.3","37","34.5","37","","","","É você... não é?"
"","","","","38","40.5","38.2","40","","","","Não! Fique atrás!"
"","","","","41.5","44.5","41.5","44.5","","","","Enfim... vá com calma, sim?"
"","","","","45.7","47.6","45.7","47.6","","","","""1.400 anos no futuro..."""
"","","","","105.65","106.5","105.65","106","","","","""O mundo está à beira da destruição...""<LF>"
"","","","","106.5","108.3","106","107.7","","","","""O mundo está à beira da destruição...""<LF>Esta besta também é uma sombra?"
"","","","","108.3","108.5","107.7","108.2","","","","Não! Você tem que parar isso!<LF>Esta besta também é uma sombra?"
"","","","","108.5","109.5","108.2","109","","","","Não! Você tem que parar isso!<LF>"
"","","","","109.5","109.7","109","109.7","","","","Não! Você tem que parar isso!<LF>Como uma mera ferramenta poderia esperar ficar contra o Shadowlord?"
"","","","","109.7","111","109.7","111.5","","","","<LF>Como uma mera ferramenta poderia esperar ficar contra o Shadowlord?"
"","","","","111","111.3","111.5","111.8","","","","Eu não quero machucar meus amigos!<LF>Como uma mera ferramenta poderia esperar ficar contra o Shadowlord?"
"","","","","111.3","112","111.8","112.1","","","","Eu não quero machucar meus amigos!<LF>"
"","","","","112","112.5","112.1","113","","","","Eu não quero machucar meus amigos!<LF>Kah hah hah hah hah! Mate-os, seus bastardos gloriosos!"
"","","","","112.5","113.5","113","115.5","","","","<LF>Kah hah hah hah hah! Mate-os, seus bastardos gloriosos!"
"","","","","113.5","117.3","115.5","117.3","","","","Eu tenho um motivo para viver!<LF>Kah hah hah hah hah! Mate-os, seus bastardos gloriosos!"
"","","","","167.3","168.5","167.3","170","","","","Nós somos iguais! Ferramentas nas mãos de um mestre!<LF>"
"","","","","168.5","168.7","170","170.3","","","","Nós somos iguais! Ferramentas nas mãos de um mestre!<LF>Isso termina aqui!"
"","","","","168.7","170","170.3","170.8","","","","<LF>Isso termina aqui!"
"","","","","170","170.3","170.8","171.1","","","","Kainé!<LF>Isso termina aqui!"
"","","","","170.3","171.5","171.1","171.5","","","","Kainé!<LF>"
"","","","","171.5","171.7","171.5","171.7","","","","Kainé!<LF>Nossas verdadeiras memórias ainda estão lá! Como você ousa ignorá-las!?"
"","","","","171.7","175","171.7","175.3","","","","<LF>Nossas verdadeiras memórias ainda estão lá! Como você ousa ignorá-la!?"
"","","","","175","175.3","175.3","175.8","","","","Esperávamos adiar por cem anos ou mais.<LF>Nossas verdadeiras memórias ainda estão lá! Como você ousa ignorá-las!?"
"","","","","175.3","177.8","175.8","177.8","","","","Esperávamos adiar por cem anos ou mais.<LF>"
"","","","","177.8","178.1","177.8","178.2","","","","Esperávamos adiar por cem anos ou mais.<LF>Vou lutar ao seu lado. Agora e sempre!"
"","","","","178.1","180.5","178.2","181.5","","","","<LF>Vou lutar ao seu lado. Agora e sempre!"
"","","","","180.5","180.7","181.5","182","","","","Estou cansada deste mundo e de todos nele.<LF>Eu lutarei ao seu lado. Agora...e sempre!"
"","","","","180.7","184.5","182","184.5","","","","Estou cansada deste mundo e de todos nele.<LF> "
"","","","","184.5","186.5","184.5","187.5","","","","Mas eu vou me tornar sua espada uma última vez!<LF> "
"","","","","186.5","186.8","187.5","187.8","","","","Mas eu vou me tornar sua espada uma última vez!<LF>Não! Kainé!"
"","","","","186.8","189.5","187.8","189.5","","","","<LF>Não! Kainé!"
"","","","","189.5","189.8","189.5","190.3","","","","Eu vou te salvar. Eu juro!<LF>Não! Kainé!"
"","","","","189.8","191.5","190.3","191.5","","","","Eu vou te salvar. Eu juro!<LF>"
"","","","","196","199","196.5","199","","","","Obrigado por sempre estar lá por mim."
""
