"0","2","26","4294967295","30.5","33","30.9","32.5","","","","Weiss, tu puoi salvare Yonah."
"","","","","34.3","37","34.5","37","","","","Sei tu... vero?"
"","","","","38","40.5","38.2","40","","","","No! Non avvicinatevi!"
"","","","","41.5","44.5","41.5","44.5","","","","Statemi bene, eh!"
"","","","","45.7","47.6","45.7","47.6","","","","""1.400 anni nel futuro..."""
"","","","","105.65","106.5","105.65","106","","","","""Il mondo è sull'orlo del baratro...""<LF> "
"","","","","106.5","108.3","106","107.7","","","","""Il mondo è sull'orlo del baratro...""<LF>È un'Ombra anche questa bestia?"
"","","","","108.3","108.5","107.7","108.2","","","","No! Questo massacro deve finire!<LF>È un'Ombra anche questa bestia?"
"","","","","108.5","109.5","108.2","109","","","","No! Questo massacro deve finire!<LF> "
"","","","","109.5","109.7","109","109.7","","","","No! Questo massacro deve finire!<LF>Come può un semplice strumento sperare di resistere al Signore delle Ombre?"
"","","","","109.7","111","109.7","111.5","","",""," <LF>Come può un semplice strumento sperare di resistere al Signore delle Ombre?"
"","","","","111","111.3","111.5","111.8","","","","Non voglio far del male ai miei amici!<LF>Come può un semplice strumento sperare di resistere al Signore delle Ombre?"
"","","","","111.3","112","111.8","112.1","","","","Non voglio far del male ai miei amici!<LF> "
"","","","","112","112.5","112.1","113","","","","Non voglio far del male ai miei amici!<LF>Muahahah! Uccideteli, luridi schifosi! Uccideteli tutti!"
"","","","","112.5","113.5","113","115.5","","",""," <LF>Muahahah! Uccideteli, luridi schifosi! Uccideteli tutti!"
"","","","","113.5","117.3","115.5","117.3","","","","Ho una ragione per cui vivere!<LF>Muahahah! Uccideteli, luridi schifosi! Uccideteli tutti!"
"","","","","167.3","168.5","167.3","170","","","","Siamo uguali! Meri strumenti nelle mani di altri!<LF> "
"","","","","168.5","168.7","170","170.3","","","","Siamo uguali! Meri strumenti nelle mani di altri!<LF>Questa storia finisce ora!"
"","","","","168.7","170","170.3","170.8","","",""," <LF>Questa storia finisce ora!"
"","","","","170","170.3","170.8","171.1","","","","Kainé !<LF>Questa storia finisce ora!"
"","","","","170.3","171.5","171.1","171.5","","","","Kainé !<LF> "
"","","","","171.5","171.7","171.5","171.7","","","","Kainé !<LF>I nostri veri ricordi sono ancora lì! Come osi ignorarli?!"
"","","","","171.7","175","171.7","175.3","","",""," <LF>I nostri veri ricordi sono ancora lì! Come osi ignorarli?!"
"","","","","175","175.3","175.3","175.8","","","","Speravamo di aspettare altri cent'anni. Fino alla prossima generazione.<LF>I nostri veri ricordi sono ancora lì! Come osi ignorarli?!"
"","","","","175.3","177.8","175.8","177.8","","","","Speravamo di aspettare altri cent'anni. Fino alla prossima generazione.<LF> "
"","","","","177.8","178.1","177.8","178.2","","","","Speravamo di aspettare altri cent'anni. Fino alla prossima generazione.<LF>Combatterò al loro fianco. Ora... e per sempre!"
"","","","","178.1","180.5","178.2","181.5","","",""," <LF>Combatterò al loro fianco. Ora... e per sempre!"
"","","","","180.5","180.7","181.5","182","","","","Sono stanca di questo mondo e di tutti quelli che lo abitano.<LF>Combatterò al loro fianco. Ora... e per sempre!"
"","","","","180.7","184.5","182","184.5","","","","Sono stanca di questo mondo e di tutti quelli che lo abitano.<LF> "
"","","","","184.5","186.5","184.5","187.5","","","","Ma sarò la sua spada un'ultima volta!<LF> "
"","","","","186.5","186.8","187.5","187.8","","","","Ma sarò la sua spada un'ultima volta!<LF>No! Kainé!"
"","","","","186.8","189.5","187.8","189.5","","",""," <LF>No! Kainé!"
"","","","","189.5","189.8","189.5","190.3","","","","Ti salverò, lo giuro!<LF>No! Kainé!"
"","","","","189.8","191.5","190.3","191.5","","","","Ti salverò, lo giuro!<LF> "
"","","","","196","199","196.5","199","","","","Grazie di esserci sempre."
""
