"0","2","26","4294967295","30.5","33","30.9","32.5","","","","백이 있으면 요나를 구할 수 있어!"
"","","","","34.3","37","34.5","37","","","","당신이…… 『오빠』?"
"","","","","38","40.5","38.2","40","","","","안 돼!<LF>가까이 오지 마세요!"
"","","","","41.5","44.5","41.5","44.5","","","","그럼 잘 지내라."
"","","","","45.7","47.6","45.7","47.6","","","","【1400년 후의 미래】"
"","","","","105.65","106.5","105.65","106","","","","【멸망해 가는 세계】<LF> "
"","","","","106.5","108.3","106","107.7","","","","【멸망해 가는 세계】<LF>저것도……  마물인가?"
"","","","","108.3","108.5","107.7","108.2","","","","부탁이에요! 그만두세요!<LF>저것도……  마물인가?"
"","","","","108.5","109.5","108.2","109","","","","부탁이에요! 그만두세요!<LF> "
"","","","","109.5","109.7","109","109.7","","","","부탁이에요! 그만두세요!<LF>우리의 왕에게 맞서다니."
"","","","","109.7","111","109.7","111.5","","",""," <LF>우리의 왕에게 맞서다니."
"","","","","111","111.3","111.5","111.8","","","","나는 동료를 다치게 하고 싶지 않아!<LF>우리의 왕에게 맞서다니."
"","","","","111.3","112","111.8","112.1","","","","나는 동료를 다치게 하고 싶지 않아!<LF> "
"","","","","112","112.5","112.1","113","","","","나는 동료를 다치게 하고 싶지 않아!<LF>크하하하하하하핫!모두 죽여, 죽여, 죽여, 죽여!"
"","","","","112.5","113.5","113","115.5","","",""," <LF>크하하하하하하핫!모두 죽여, 죽여, 죽여, 죽여!"
"","","","","113.5","117.3","115.5","117.3","","","","나한테는 지킬 것이 있어! 살아갈 의미가 있어!<LF>크하하하하하하핫!모두 죽여, 죽여, 죽여, 죽여!"
"","","","","167.3","168.5","167.3","170","","","","결국은 도구인 거야……<LF> "
"","","","","168.5","168.7","170","170.3","","","","결국은 도구인 거야……<LF>모든 걸 끝내고 말겠어!"
"","","","","168.7","170","170.3","170.8","","",""," <LF>모든 걸 끝내고 말겠어!"
"","","","","170","170.3","170.8","171.1","","","","카이네 씨! 위험해요!<LF>모든 걸 끝내고 말겠어!"
"","","","","170.3","171.5","171.1","171.5","","","","카이네 씨! 위험해요!<LF> "
"","","","","171.5","171.7","171.5","171.7","","","","카이네 씨! 위험해요!<LF>우리의 진짜 기억을 잃었을 리가 없다!"
"","","","","171.7","175","171.7","175.3","","",""," <LF>우리의 진짜 기억을 잃었을 리가 없다!"
"","","","","175","175.3","175.3","175.8","","","","백 년 뒤…… 다음 세대에 하고 싶었어.<LF>우리의 진짜 기억을 잃었을 리가 없다!"
"","","","","175.3","177.8","175.8","177.8","","","","백 년 뒤…… 다음 세대에 하고 싶었어.<LF> "
"","","","","177.8","178.1","177.8","178.2","","","","백 년 뒤…… 다음 세대에 하고 싶었어.<LF>나는 이 녀석들과 함께 싸운다. 그렇게 정했다!"
"","","","","178.1","180.5","178.2","181.5","","",""," <LF>나는 이 녀석들과 함께 싸운다. 그렇게 정했다!"
"","","","","180.5","180.7","181.5","182","","","","이 미친 세계에서 보낼 시간이 아직 조금이라도 있다면……<LF>나는 이 녀석들과 함께 싸운다. 그렇게 정했다!"
"","","","","180.7","184.5","182","184.5","","","","이 미친 세계에서 보낼 시간이 아직 조금이라도 있다면……<LF> "
"","","","","184.5","186.5","184.5","187.5","","","","녀석의 칼이 되어 죽어 줄 거다!<LF> "
"","","","","186.5","186.8","187.5","187.8","","","","녀석의 칼이 되어 죽어 줄 거다!<LF>안 돼요! 카이네 씨이이이이이이."
"","","","","186.8","189.5","187.8","189.5","","",""," <LF>안 돼요! 카이네 씨이이이이이이."
"","","","","189.5","189.8","189.5","190.3","","","","내가 반드시 너를 구해줄게!!<LF>안 돼요! 카이네 씨이이이이이이."
"","","","","189.8","191.5","190.3","191.5","","","","내가 반드시 너를 구해줄게!!<LF> "
"","","","","196","199","196.5","199","","","","계속 같이 있어 줘서…… 고마워."
""
