"1000","","0","1","0","EID_0050_a0040g_0060_NIER010_X","","","","","-1","0","0","0","25","Yonah?!"
"1001","","0","1","0","EID_0050_a0042g_010_010","","","","","-1","0","0","0","25","no text"
"1002","2605","0","1","0","EID_0100_a0012_0010_YONAH010_X","","","","","0","-1","1002","0","5","Oggi posso venire con te?"
"","","-1","1","0","EID_0100_a0012_0020_NIER010_X","","","","","0","1002","-1","0","2","Meglio di no. Credo che andrò a caccia."
"1003","","0","1","0","RID_YONAH_00010","","","","<CB=YONAH_TalkSet>","0","-1","1002","0","5","Sta' attento, ok?"
"1004","","0","1","0","RID_YONAH_00020","","","","<CB=YONAH_TalkSet>","0","-1","1002","0","5","Ehm... Ti voglio bene."
"1005","","0","1","0","RID_YONAH_00030","","","","<CB=YONAH_TalkSet>","0","-1","1002","0","5","Farò la brava mentre sei via. Promesso."
"1006","","0","1","0","RID_YONAH_00040","","","","<CB=YONAH_TalkSet>","0","-1","1002","0","5","Mi spiace di essermi ammalata."
"1007","","0","1","0","RID_VILOLWB_00010","","","","","0","-1","1078","0","108","Ehilà! Credo che Popola ti stia aspettando in biblioteca."
"1008","","0","1","0","RID_VILOLMC_10010","","","","","0","-1","1048","0","8","Ehi, ho sentito che Popola ha bisogno di una mano."
"1009","","0","1","0","RID_VILYTHA_00010","","","","","0","-1","1079","0","8","Credo che Popola ti stia aspettando in biblioteca."
"1010","","0","1","0","EID_1050_a0004g_0116_NIER010_X","","","","","-1","0","0","0","2","Immagino che la taverna sia ancora chiusa."
"1011","1012","0","1","0","EID_0100_a0016g_0050_DEBOL010_X","","","<CB=BGM_A_CENTER_VILLAGE_01_DEBOL_VOCAL_OFF>","","0","-1","1003","0","23","Buongiorno."
"1012","","0","1","0","EID_0100_a0016g_0060_NIER010_X","","","","","0","1003","-1","0","2","Ehi, Devola!"
"","","-1","1","0","EID_0100_a0016g_0070_DEBOL010_X","","","","","0","-1","1003","0","23","Se continui a correre qua e là, finirai per inciampare."
"","","-1","1","0","EID_0100_a0016g_0080_NIER010_X","","","","<CB=EID_0100_a0016g_End><LF><CB=BGM_A_CENTER_VILLAGE_01_DEBOL_VOCAL_ON>","0","1003","-1","0","2","Ah! Farò attenzione, grazie per avermi avvisato."
"1013","","0","1","0","RID_DEBOL_00010","","","<CB=BGM_A_CENTER_VILLAGE_01_DEBOL_VOCAL_OFF>","<CB=Sit_Debol_SetMotion><LF><CB=BGM_A_CENTER_VILLAGE_01_DEBOL_VOCAL_ON>","0","-1","1003","0","23","So quanto tieni a Yonah, ma dovresti riposare ogni tanto, non credi?"
"1014","1015","0","2","0","EID_0100_a0020_0010_POPOL010_X","","","<CB=EID_0100_a0020_Start>","","0","-1","1004","0","24","Buongiorno. Come sta Yonah oggi?"
"","","-1","1","0","EID_0100_a0020_0020_NIER010_X","","","","","0","1004","-1","0","2","Ha ancora una brutta tosse."
"","","-1","1","0","EID_0100_a0020_0030_POPOL010_X","","","","","0","-1","1004","0","24","Mmm. Non mi piace per nulla."
"","","0","1","0","EID_0100_a0020_00301_NIER010_X","","","","","0","1004","-1","0","2","Già."
"","","0","1","0","EID_0100_a0020_00302_NIER010_X","","","","","0","1004","-1","0","2","Continuo a sperare che possa migliorare almeno <FONT=ITALIC>un po'</FONT>, ma..."
"","","0","1","0","EID_0100_a0020_00303_NIER010_X","","","","","0","1004","-1","0","2","Non lo so. Mi sento inutile."
"","","0","1","0","EID_0100_a0020_00304_POPOL010_X","","","","","0","-1","1004","0","24","Ma smettila! Sei il fratello migliore che si possa desiderare."
"1015","1016","0","1","0","EID_0100_a0020_0040_POPOL010_X","","","","","0","-1","1004","0","24","Comunque, speravo potessi occuparti di una richiesta che ho ricevuto."
"1016","1017","0","1","0","SEID_100_S0010_0041_X","","","","","0","-1","1004","0","24","Un tizio nel quartiere del mercato ha bisogno di carne di montone. Puoi trovarla nella pianura settentrionale."
"1017","1018","0","1","0","SEID_100_S0010_0042_X","","","","","0","1004","-1","0","2","Va bene. Ci vado subito."
"1018","","0","1","0","SEID_100_S0010_00431_X","","","","","0","-1","1004","0","24","Per raggiungere la pianura, ti farà comodo una mappa. Ecco qui."
"","","0","1","0","SEID_100_S0010_00432_X","","","","<CB=EID_0100_a0020_Map_010>","0","-1","1004","0","24","Fidati, ti tornerà utile."
"1019","","0","1","0","SEID_100_S0010_00433_X","","","","","0","-1","1004","0","24","Ah, un'altra cosa..."
