"1","黒の書","Grimoire Noir","Grimoire Noir","Grimoire Noir","Grimoire Noir","Grimoire Noir","黑之书","黑書","흑의 서"
"2","ニーア","<NIER>","<NIER>","<NIER>","<NIER>","<NIER>","","",""
"3","ニーア","<NIER>","<NIER>","<NIER>","<NIER>","<NIER>","","",""
"4","ニーア","<NIER>","<NIER>","<NIER>","","","","",""
"5","ヨナ","Yonah","Yonah","Yonah","Yonah","Yonah","悠娜","悠娜","요나"
"6","ヨナ","Yonah","Yonah","Yonah","Yonah","Yonah","悠娜","悠娜","요나"
"7","ヨナ","Yonah","Yonah","Yonah","Yonah","Yonah","悠娜","悠娜","요나"
"8","村人","Villager","Villageois","Dorfbewohner","Abitante del villaggio","Aldeano","村民","村民","마을 사람"
"9","衛兵","Guard","Garde","Wache","Guardia","Guarda","卫兵","衛兵","위병"
"10","道具屋","Item Shopkeeper","Apothicaire","Warenverkäufer","Negoziante di oggetti","Comerciante de objetos","工具店老板","道具店商人","도구상"
"11","素材屋","Material Shopkeeper","Marchand de matériaux","Materialverkäufer(in)","Negoziante di materiali","Comerciante de materiales","材料店老板","材料店商人","재료상"
"12","花屋","Florist","Fleuriste","Blumenhändlerin","Fiorista","Florista","花店老板","花店商人","꽃 상인"
"13","食品屋","Grocer","Épicier","Lebensmittelhändler","Negoziante di alimentari","Vendedor de alimentos","食品店老板","食材商人","식료품 상인"
"14","武器屋","Blacksmith","Forgeron","Schmied","Fabbro","Herrero","武器店老板","武器店商人","무기상"
"15","釣具屋","Tackle Shopkeeper","Marchand d'appâts","Ausrüstungsverkäufer","Negoziante di pesca","Comerciante de aparejos","渔具店老板","釣具商人","낚시 도구 상인"
"16","酒屋","Tavern Keeper","Tavernier","Tavernenbesitzer","Taverniere","Tabernero","酒馆老板","酒鋪商人","술집 주인"
"17","村人","Villager","Villageois","Dorfbewohner","Abitante del villaggio","Aldeano","村民","村民","마을 사람"
"18","村人","Villager","Villageois","Dorfbewohner","Abitante del villaggio","Aldeano","村民","村民","마을 사람"
"19","街の人","Resident","Habitant","Bewohner","Abitante","Habitante","镇上居民","城鎮居民","도시 사람"
"20","魚屋","Fishmonger","Poissonnier","Fischhändler","Pescivendolo","Pescadero","鱼店老板","魚店商人","생선 상인"
"21","占い師","Fortune-teller","Diseuse de bonne aventure","Wahrsagerin","Indovina","Vidente","占卜师","算命師","점술사"
"22","村人","Villager","Villageois","Dorfbewohner","Abitante del villaggio","Aldeano","村民","村民","마을 사람"
"23","デボル","Devola","Devola","Devola","Devola","Devola","迪瓦拉","迪瓦菈","데볼"
"24","ポポル","Popola","Popola","Popola","Popola","Popola","波波拉","波波菈","포폴"
"25","？？？","? ? ?","? ? ?","? ? ?","? ? ?","? ? ?","？？？","？？？","???"
"26","白の書","Grimoire Weiss","Grimoire Weiss","Grimoire Weiss","Grimoire Weiss","Grimoire Weiss","白之书","白書","백의 서"
"27","村長","Village Chief","Chef du village","Dorfanführer","Capo del villaggio","Jefe de la aldea","村长","村長","촌장"
"28","カイネ","Kainé","Kainé","Kainé","Kainé","Kainé","凯妮","凱寧","카이네"
"29","マモノ","Shade","Ombre","Schatten","Ombra","Sombra","魔物","魔物","마물"
"30","マモノ","Shade","Ombre","Schatten","Ombra","Sombra","魔物","魔物","마물"
"31","マモノ","Shade","Ombre","Schatten","Ombra","Sombra","魔物","魔物","마물"
"32","マモノ","Shade","Ombre","Schatten","Ombra","Sombra","魔物","魔物","마물"
"33","マモノ","Shade","Ombre","Schatten","Ombra","Sombra","魔物","魔物","마물"
"34","執事","Butler","Majordome","Butler","Maggiordomo","Mayordomo","管家","管家","집사"
"35","エミール","Emil","Émile","Emil","Emil","Emil","艾米尔","艾米爾","에밀"
"36","弟","Gideon","Gidéon","Gideon","Gideon","Gideon","弟弟","弟弟","동생"
"37","弟","Boy","Garçon","Junge","Ragazzo","Chico","弟弟","弟弟","동생"
"38","兄","Jakob","Jakob","Jakob","Jakob","Jakob","哥哥","哥哥","형"
"39","防衛システム","Defense System","Système de défense","Verteidigungssystem","Sistema difensivo","Sistema de defensa","防卫系统","防衛系統","방어 시스템"
"40","老婆","Lighthouse Lady","Gardienne du phare","Leuchtturmdame","Guardiana del faro","Anciana del faro","老婆婆","老婆婆","노파"
"41","配達員","Postman","Postier","Postbote","Postino","Cartero","邮递员","郵差","배달원"
"42","フィーア","Fyra","Fyra","Fyra","Fyra","Fyra","菲儿","菲雅","피아"
"43","仮面の副官","Advisor","Conseiller","Berater","Consigliere","Consejero","面具国副官","面具副官","가면의 부관"
"44","仮面の王子","Prince of Facade ","Prince de Façade ","Prinz von Fassade ","Principe di Facciata ","Príncipe de Fachada ","面具国王子","面具王子","가면의 왕자"
"45","仮面の王","King of Facade ","Roi de Façade ","König von Fassade ","Re di Facciata ","Rey de Fachada ","面具国国王","面具之王","가면의 왕"
"46","仮面の人","Masked Person","Personne masquée","Maskierte Person","Persona mascherata","Persona enmascarada","面具族人","面具族","가면족"
"47","仮面の兵士","Masked Soldier","Soldat masqué","Maskierter Soldat","Soldato mascherato","Soldado enmascarado","面具国士兵","面具士兵","가면의 병사"
"48","変なモノ屋","Strange-Thing Shopkeeper","Marchand de curiosités","Seltsame-Dinge-Verkäufer","Negoziante di amenità","Comerciante de objetos raros","奇异商店老板","怪異商店商人","괴짜 상점"
"49","仮面の食料屋","Grocer","Épicier","Lebensmittelhändler","Negoziante di alimentari","Vendedor de alimentos","面具国食品店老板","面具食料商人","가면의 식료품상"
"50","仮面の素材屋","Material Shopkeeper","Marchand de matériaux","Materialverkäufer(in)","Negoziante di materiali","Comerciante de materiales","面具国材料店老板","面具材料商人","가면의 재료상"
"51","仮面の武器屋","Blacksmith","Forgeron","Schmied","Fabbro","Herrero","面具国武器店老板","面具武器商人","가면의 무기상"
"52","仮面の道具屋","Item Shopkeeper","Apothicaire","Warenverkäufer","Negoziante di oggetti","Comerciante de objetos","面具国工具店老板","面具道具商人","가면의 도구상"
"53","村人男","Man","Homme","Mann","Uomo","Hombre","男村民","男村民","마을 사람(남)"
"54","村人女","Woman","Femme","Frau","Donna","Mujer","女村民","女村民","마을 사람(여)"
"55","子マモノ","Young Shade","Jeune Ombre","Junger Schatten","Ombra giovane","Sombra joven","魔物孩子","魔物小孩","아이 마물"
"56","母マモノ","Mother Shade","Mère Ombre","Schattenmutter","Ombra madre","Sombra madre","魔物妈妈","魔物母親","엄마 마물"
"57","Ｐ３３","P-33","P-33","P-33","P-33","P-33","P33","Ｐ３３","P33"
"58","テュラン","Tyrann","Tyrann","Tyrann","Tyrann","Tyrann","杜兰","杜蘭","튀란"
"59","グレーテル","Gretel","Gretel","Gretel","Gretel","Gretel","格雷特","格雷特","그레텔"
"60","リーダー狼","Pack Leader","Chef de la meute","Rudelführer","Capobranco","Lobo alfa","头狼","狼首領","리더 늑대"
"61","狼 ","Wolf","Loup","Wolf","Lupo","Lobo","狼 ","狼 ","늑대 "
"62","子供狼","Wolf Cub","Louveteau","Wolfsjunges","Cucciolo di lupo","Lobezno","幼狼","幼狼","어린 늑대"
"63","子犬 ","Wolf Cub","Louveteau","Wolfsjunges","Cucciolo di lupo","Lobezno","幼犬 ","幼犬 ","강아지 "
"64","老人","Old Man","Vieil homme","Alter Mann","Anziano","Anciano","老人","老人","노인"
"65","姉","Sister","Sœur","Schwester","Sorella","Hermana","姐姐","姊姊","누나"
"66","小鳥","Bird","Oiseau","Vogel","Uccello","Pájaro","小鸟","小鳥","새"
"67","魔王","Shadowlord","Maître des Ombres","Schattenfürst","Signore delle Ombre","Señor de las sombras","魔王","魔王","마왕"
"68","デボル・ポポル","Devola/Popola","Devola et Popola","Devola/Popola","Devola/Popola","Devola/Popola","迪瓦拉·波波拉","迪瓦菈、波波菈","데볼/포폴"
"69","盗賊","Bandit","Pillard","Bandit","Bandito","Bandido","盗贼","盜賊","도적"
"70","選択肢","Choice","Choix","Auswahl","Scelta","Elección","选项","選項","선택지"
"71","子供","Child","Enfant","Kind","Bambino","Niño","孩子","小孩","아이"
"72","仮面の子供","Masked Child","Enfant masqué","Maskiertes Kind","Bambino mascherato","Niño enmascarado","面具国的孩子","面具族小孩","가면의 아이"
"73","郵便局員","Apprentice Postman","Apprenti postier","Postbotenlehrling","Apprendista postino","Aprendiz de cartero","邮递员","郵局人員","우체국 직원"
"74","村人","Villager","Villageois","Dorfbewohner","Abitante del villaggio","Aldeano","村民","村民","마을 사람"
"75","赤いカバンの男","Red-Bag Man","Homme au sac","Mann mit Tasche","Proprietario della borsa","Repartidor","带着皮包的男子","包包男子","가방 남자"
