"Emil? Me escute.","Emil? Listen to me.","¿Emil? Escúchame."
"O que é isso, Kainé?","What is it, Kainé?","¿Qué sucede, Kainé?"
"Seus olhos não são um pecado. Nunca tenha vergonha deles.","Your eyes are not a sin. Don't ever be ashamed of them.","Tus ojos no son ningún pecado. Ni se te ocurra avergonzarte de ellos."
"Eles são uma parte vital de você.","They're a vital part of you.","Forman una parte muy importante de ti."
"Você entende?","Do you understand?","¿Lo comprendes?"
"O que é isso? Uma sombra!? Como você...?","What's this? A Shade!? How did you...?","¿Qué es esto? ¡¿Una Sombra?! ¿Cómo has...?"
"Este braço é uma arma amaldiçoada.","This arm is an accursed weapon.","Este brazo es un arma maldita."
"Eu pensei que só precisaria disso até que tivesse me vingado.","I thought I would only need it until I had earned my revenge.","Pensaba que solo lo necesitaría hasta haber obtenido mi venganza."
"Uma vez que isso aconteceu, imaginei que tudo acabava.","Once that happened, I figured it was all over.","Y creí que todo acabaría una vez conseguida esta."
"Mas há uma razão pela qual estou viva - que meu braço está vivo.","But there's a reason I'm alive—that my arm is alive.","Pero hay un motivo por el que sigo con vida... Y por el que mi brazo está vivo."
"E há uma razão para seus olhos também.","And there's a reason for your eyes, too.","Y otro motivo por el que también lo están tus ojos."
"Kainé...","Kainé...","Kainé..."
"Mas ouça. Se essa Sombra alguma vez...","But listen. If this Shade should ever...","Presta atención. Si esta Sombra hubiera..."
"Não...","No...","No..."
