"Emil? Me escuta.","Emil? Listen to me.","¿Emil? Escúchame."
"O que foi, Kainé?","What is it, Kainé?","¿Qué sucede, Kainé?"
"Seus olhos não são um pecado. Nunca se envergonhe deles.","Your eyes are not a sin. Don't ever be ashamed of them.","Tus ojos no son ningún pecado. Ni se te ocurra avergonzarte de ellos."
"Eles são uma parte vital sua.","They're a vital part of you.","Forman una parte muy importante de ti."
"Você entende?","Do you understand?","¿Lo comprendes?"
"O que é isso? Uma Sombra!? Como você...?","What's this? A Shade!? How did you...?","¿Qué es esto? ¡¿Una Sombra?! ¿Cómo has...?"
"Esse braço é uma arma amaldiçoada.","This arm is an accursed weapon.","Este brazo es un arma maldita."
"Achei que só precisaria dele até concluir minha vingança.","I thought I would only need it until I had earned my revenge.","Pensaba que solo lo necesitaría hasta haber obtenido mi venganza."
"E quando me vinguei, descobri que estava tudo acabado.","Once that happened, I figured it was all over.","Y creí que todo acabaría una vez conseguida esta."
"Mas há uma razão para eu estar viva—para meu braço estar vivo.","But there's a reason I'm alive—that my arm is alive.","Pero hay un motivo por el que sigo con vida... Y por el que mi brazo está vivo."
"E há uma razão para seus olhos, também.","And there's a reason for your eyes, too.","Y otro motivo por el que también lo están tus ojos."
"Kainé...","Kainé...","Kainé..."
"Mas, ouça. Se essa Sombra algum dia...","But listen. If this Shade should ever...","Presta atención. Si esta Sombra hubiera..."
"Não...","No...","No..."
