"Finalmente.","Finally.","Por fin."
"Onde estou?","Where am I?","¿Dónde estoy?"
"Já faz muito tempo, Grimório Weiss.","It's been a long time, Grimoire Weiss.","Ha pasado mucho tiempo, Grimoire Weiss."
"Quem é você? Que lugar é esse?","Who are you? What is this place?","¿Tú quién eres? ¿Qué es este lugar?"
"Eu sou Grimório Noir. ...Eu sou você.","I am Grimoire Noir. ...I am you.","Soy Grimoire Noir. Yo soy tú..."
"O quê?","What?","¿Cómo?"
"Você não se lembra, Grimório Weiss? Nós dois servimos a um propósito maior.","Do you not remember, Grimoire Weiss? We two serve a higher purpose.","¿Es que no te acuerdas, Grimoire Weiss? Ambos servimos a un propósito mayor."
"Chega de mentiras! Fique longe!","Enough lies! Stay back!","¡Ya está bien de mentiras! ¡Atrás!"
"Por que você tenta suprimir a memória?","Why do you try to suppress the memory?","¿Por qué intentas reprimir el recuerdo?"
"Você teme machucar alguém próximo a você?","Do you fear hurting someone close to you?","¿Tienes miedo de hacerle daño a alguien querido?"
"Absurdo!","Preposterous!","¡Ridículo!"
"Sua negação é absurda!","Your denial is preposterous!","¡Lo ridículo es que no lo quieras aceptar!"
"Somos meros livros, criados para servir o Shadowlord!","We are mere books, created to serve the Shadowlord!","¡Somos meros libros, creados para servir al Señor de las sombras!"
"Você não tem o direito de abandoná-lo!","You have no right to forsake Him!","¡No tienes derecho a abandonarlo!"
"O Shadowlord...","The Shadowlord...","El Señor de las sombras..."
"Você se lembra do nosso objetivo final?","Do you remember our ultimate goal?","¿Recuerdas cuál es nuestro objetivo final?"
"Nosso... objetivo final...","Our...ultimate goal...","Nuestro... objetivo final..."
"Preto e branco se tornarão um e libertarão as Sombras no mundo!","White and black shall fuse to one and set free Shades to the world!","¡El blanco y el negro se fundirán en uno y liberarán las Sombras al mundo!"
"Nos tornar um? Nós? Não, não posso! Não vou! Jamais!","Fuse? Us? No, I cannot! I will not! I will never!","¿Fundirnos? ¿Nosotros? ¡No, imposible! ¡No lo haré! ¡Jamás!"
"Seu encontro casual com este garoto...","Your chance encounter with this boy...","Tu encuentro fortuito con este chico..."
"Sua coleção de Versos Selados...","Your collection of the Sealed Verses...","Tu colección de Versos sellados..."
"Foi o próprio Shadowlord que providenciou tudo isso!","It was all set in motion by the Shadowlord himself!","¡Fue el propio Señor de las sombras quien lo puso todo en marcha!"
"Não... mentiras...","No... Lies...","No... Mientes..."
"Chegou a hora de criarmos um mundo novo e perfeito.","The time has come for us to create a new and perfect world.","Ha llegado el momento de que creemos un mundo nuevo y perfecto."
"Nos tornaremos apenas um, você e eu.","We shall become as one, you and I.","Tú y yo seremos una sola entidad."
"Tornar-nos... um...","Become...one...","Una sola... entidad..."
"Weiss, seu idiota!","Weiss, you dumbass!","¡Weiss, so gilipollas!"
"Kai... né...?","Kai...né...?","¿Kai... né...?"
"Deixe de asneira, livro imprestável, ou vai se arrepender!","Start making sense, you rotten book, or you're gonna be sorry!","¡Como no dejes ya las tonterías, te vas a enterar, tomo podrido!"
"Talvez eu rasgue suas páginas, uma a uma!","Maybe I'll rip your pages out, one-by-one!","¡Te arrancaré las páginas una a una!"
"Ou talvez eu o coloque em um maldito forno!","Or maybe I'll put you in the goddamn furnace!","¡O lo mismo te meto en el puto horno!"
"Como alguém com um cérebro tão grande e inteligente pode ser hipnotizado como uma putinha? Huh?","How can someone with such a big, smart brain get hypnotized like a little bitch? Huh?","¿Cómo puede caer hipnotizado como un mierdecilla alguien tan inteligente? ¿Eh?"
"Oh, Shadowlord! Eu te amo, Shadowlord!","Oh, Shadowlord! I love you, Shadowlord!","¡Oh, Señor de las sombras! ¡Te quiero, Señor de las sombras!"
"Venha aqui e dê a Weiss um grande beijo molhado, Shadowlord!","Come over here and give Weiss a big sloppy kiss, Shadowlord!","¡Ven para acá y dale a Weiss un buen morreo con lengua, Señor de las sombras!"
"Agora tire essa sua cabeça da sua maldita bunda e COMECE A AJUDAR A GENTE, CARALHO!","Now pull your head out of your goddamn ass and START FUCKING HELPING US!","¡Ahora espabila de una puta vez y empieza a ser útil, coño!"
"Eu sou um com o Shadow-<LF>... Huh? Putinha?","I am one with the Shadow—<LF>...Huh? Bitch?","Estoy con el Señor...<LF>¿Eh? ¿Mierdecilla?"
"Nós, Grimórios, existimos para construir um paraíso novo e justo neste mundo.","We Grimoires exist to create in this world a new and just paradise.","Los grandes libros existimos para crear un paraíso nuevo y justo en este mundo."
"Devemos nos unir! O mundo pede isso!","We must unite! The world demands it!","¡Debemos unirnos! ¡El mundo así lo exige!"
"... Paraíso?","...Paradise?","¿Paraíso?"
"Sim, e estamos muito perto de conseguir!","Yes, and we are so close to realizing it!","Sí, ¡y lo tenemos al alcance de la mano!"
"Por favor, não vá, Weiss...","Please don't go, Weiss...","No le hagas caso, Weiss..."
"Quem... está aí?","Who's...there?","¿Quién... anda ahí?"
"Tudo bem. Eu vou entender. Vou entender se você nos esquecer.","It's okay. I'll understand. I'll understand if you forget us.","Tranquilo, lo entenderé. Entenderé que nos olvides."
"Mas... eu prometo que não vou te esquecer!","But...I promise I won't forget you!","Pero... ¡te prometo que no te olvidaré!"
"Vou me lembrar de você, não importa o que aconteça. Vou manter a memória do Grimório Weiss viva para sempre!","I'll remember you, no matter what. I'll keep the memory of Grimoire Weiss alive forever!","Te recordaré, pase lo que pase. ¡Mantendré siempre vivo el recuerdo de Grimoire Weiss!"
