"Espere!","Wait!","¡Espera!"
"Irmão...","Brother...","Hermano..."
"Yonah...","Yonah...","Yonah..."
"Huh?","Huh?","¿Eh?"
"Yonah...","Yonah...","Yonah..."
"Por favor, apenas... apenas pare. Eu não... quero mais fazer isso.","Please, just...just stop. I don't...want to do this anymore.","Por favor... para. No... quiero seguir con esto."
"Não preciso do corpo de outra pessoa. Eu não quero isso.","I don't need someone else's body. I don't want it.","No necesito el cuerpo de otra persona. No lo quiero."
"De outra pessoa? Não, Yonah! Eram nossos corpos, para começo de conversa!","Someone else? No, Yonah! They were ours to begin with!","¿De otra persona? ¡No, Yonah! ¡Eran nuestros cuerpos!"
"Há outra garota dentro deste corpo. Eu posso ouvi-la.","There's another girl inside this body. I can hear her.","Hay otra niña dentro de este cuerpo. Puedo oírla."
"Ela não para de chorar. Ela diz que quer ver seu irmão.","She won't stop crying. She says she wants to see her brother.","No para de llorar. Dice que quiere ver a su hermano."
"Yonah está possuída!?","Yonah's been possessed!?","¡¿Han poseído a Yonah?!"
"Essa garota também ama seu irmão. Tanto quanto eu.","This girl loves her brother, too. Just as much as I do.","Esa niña quiere a su hermano. Igual que yo te quiero a ti."
"Isso não está certo, sabe? É errado ela não poder vê-lo.","It's not right, you know? It's not right that she can't see him.","No está bien, ¿sabes? No está bien que no pueda verle."
"Yonah, pare. Por favor...","Yonah, stop. Please...","Yonah, para. Por favor..."
"É você... não é?","It's you...isn't it?","Eres tú..., ¿verdad?"
"Sim. Sou eu. Vamos para casa.","Yes. It's me. Let's go home.","Sí, soy yo. Volvamos a casa."
"Pare! Escute-me! Yonah, por favor!","Stop! Listen to me! Yonah, please!","¡Para! ¡Escúchame! ¡Yonah, por favor!"
"Eu... sinto muito. Eu só... eu não sei o que... Sinto muito mesmo.","I...I'm really sorry. I just... I don't know what to... I'm so very sorry.","Lo... lo siento mucho. No sé... no sé qué hacer... Lo siento muchísimo."
"Não importa o que aconteça, só quero que saiba que... eu te amo.","No matter what, just know that...I love you.","Solo quiero que sepas que... te quiero."
"Depressa! A Sombra que a possuía se foi!","Hurry! The Shade that possessed her is gone!","¡Rápido! ¡La Sombra que la había poseído se ha marchado!"
"Não...NÃÃÃÃÃÃO!","No... NOOOOOO!","No... ¡Nooo!"
