"Muito legal.","Very nice.","Muy bien."
"Agora, se quiser salvar sua preciosa Kainé...","Now, if you want to save your precious Kainé...","Ahora, si quieres salvar a tu querida Kainé..."
"Existem duas maneiras de fazer isso.","There are two ways to do it.","Hay dos formas de hacerlo."
"Uma é mergulhar sua espada no peito dela.","One is to plunge your sword into her chest.","Una es hundir tu espada en su pecho."
"Afinal, é isso que ela quer. Liberdade dos fardos. Liberdade da vida.","That's what she wants, after all. Freedom from burdens. Freedom from life.","A fin de cuentas, eso es lo que ella quiere. Librarse de su carga. Librarse de la vida."
"Qual é o outro caminho?","What's the other way?","¿Cuál es la otra forma?"
"A outra maneira... é torná-la um ser humano normal novamente.","The other way...is to make her a normal human being again.","La otra forma es... convertirla de nuevo en un ser normal."
"Mas, para que isso aconteça, você precisa trocar sua própria existência pela dela.","But to make that happen, you gotta trade your own existence for hers.","Pero, para que eso ocurra, tienes que intercambiar tu propia existencia por la suya."
"Bem, aí é com você! Boa sorte com isso.","Well, there you go! Good luck with that.","¡Bueno, eso es lo que hay! Suerte."
"Você é aquela sombra. Aquele que vive dentro de Kainé. Por que está tentando ajudá-la?","You're that Shade. The one who lives inside Kainé. Why are you trying to help her?","Eres esa Sombra, la que vive dentro de Kainé. ¿Por qué estás intentando ayudarla?"
"Provavelmente pela mesma razão que você é.","Probably for the same reason you are.","Probablemente, por la misma razón que tú."
"Chega de conversa. Faça a sua escolha!","Enough talk. Make your choice!","Basta de charla. ¡Elige!"
