"(A comida de Yonah é... hum... interessante.)","(Yonah's food is...uh...interesting.)","(La comida de Yonah es... eh... interesante)."
"(Acho que ela puxou mais a mãe do que eu pensava...)","(Guess she takes after Mom in more ways than one...)","(Imagino que cuida a mamá de varias maneras...)."
"A manhã seguinte...","The Next Morning...","A la mañana siguiente..."
"A noite anterior ao casamento...","The Night Before the Wedding...","La noche antes de la boda..."
"O dia do casamento","The Day of the Wedding","El día de la boda"
"1.412 anos depois...","1,412 Years Later...","1412 años después..."
"As pessoas dizem que o mundo está morrendo. As populações continuam a cair,<LF>enquanto pragas e doenças se espalham freneticamente.","People say the world is dying. Populations continue to fall,<LF>while plague and disease run rampant.","La gente dice que el mundo se muere.<LF>La población se reduce cada vez más mientras la plaga y la enfermedad campan a sus anchas."
"Como se não bastasse, agora, os monstros chamados Sombras também vagam pela terra,<LF>ameaçando seriamente nossas vidas.","If that wasn't enough, monsters called Shades now roam the land as well,<LF>threatening our very lives.","Y, por si eso fuera poco, ahora también han aparecido unos monstruos, conocidos como Sombras, que amenazan nuestras vidas."
"Mas não posso deixar que nada disso me distraia.","But I can't let any of that distract me.","Pero no puedo permitir que eso me distraiga."
"Minha irmã está doente, e meu único objetivo é garantir que nós dois sobrevivamos.","My sister is sick, and my only goal is to ensure that the two of us survive.","Mi hermana pequeña está enferma y mi única meta es garantizar que sobrevivamos los dos."
"Não é fácil para duas crianças viverem por conta própria.","It's not easy for a pair of kids to live on their own.","Vivir sin ayuda de nadie no resulta sencillo para un par de chiquillos."
"Mas os aldeões foram gentis conosco e, apesar de tudo,<LF>de alguma forma, sinto que vamos ficar bem.","But the villagers have been kind to us, and despite everything,<LF>somehow I feel like we're gonna be okay.","Pero los aldeanos siempre han sido muy buenos con nosotros y, a pesar de todo, tengo la<LF>sensación de que todo irá bien."
"... Temos que ficar. Não há outra escolha.","...We have to be. There's no other choice.","No me queda otra. Así debe ser para ambos."
"Ufa... estou tão cansada...","Whew... I'm so tired...","Ufff... Estoy que me caigo..."
"As escadas são... complicadas, para esses ossos velhos...","Stairs are...rough going on these old bones...","Cuesta subir... las escaleras con estos huesos tan débiles..."
"Mas, e se ele... se ele voltar hoje?","But what if he...if he returns today?","Pero... ¿y si volviera hoy?"
"Não posso deixar o farol ficar escuro...","Can't let the lighthouse stay dark...","No puedo dejar el faro a oscuras..."
"Há um tempo, salvei um garoto local de uma alcateia de lobos.","A while back, I saved a local kid from a pack of wolves.","Hace un tiempo, salvé a un chico del ataque de una manada de lobos."
"Desde então, esta cidade me recebeu de braços abertos.","Ever since, this town's welcomed me with open arms.","Desde entonces, soy recibida en la ciudad con los brazos abiertos."
"Tem que ser um lugar bastante fodido para me deixarem entrar, hein?","Gotta be a pretty screwed-up place if they let me in, huh?","Para dejarme entrar a mí, deben de estar pasándolas canutas, ¿eh?"
"De qualquer forma, não entendo uma palavra que eles dizem, então não se anime muito.","Anyway, I don't understand a word they say, so don't get too excited.","Sea como sea, no entiendo ni papa de lo que dicen, así que no lanzo las campanas al vuelo."
"Faz cinco anos desde que levaram minha irmã.","It's been five years since they took my sister.","Ya han pasado cinco años desde que se llevaron a mi hermana."
"Passei todo o meu tempo procurando por ela.","I've spent every waking moment searching for her.","He pasado cada segundo de mi vida intentando dar con ella."
"Mas só encontrei dor de cabeça e desespero.","But all I've found is heartache and despair.","Pero solo he encontrado angustia y desolación."
"Este mundo está acabando. Entre os Sombras e o Rabisco Negro,<LF>em breve, não sobrará ninguém.","This world is winding down. Between the Shades and the Black Scrawl,<LF>there won't be anyone left soon.","El mundo toca a su fin. Entre las Sombras y la necrosis rúnica, pronto dejaremos de existir."
"Minha vida agora - e meu propósito - é caçar Sombras.","My life now—and my purpose—is hunting Shades.","El único objetivo que me queda en la vida es cazar Sombras."
"Algum dia, encontrarei uma pista que me levará ao Shadowlord.<LF>Acredito eu... tenho que acreditar.","Someday, I'll find a clue that will lead me to the Shadowlord.<LF>I believe that. ...I have to.","Algún día daré con una pista que me conducirá hasta el Señor de las sombras.<LF>Eso quiero creer. No me queda más remedio."
"Sonhos de Kainé: discriminação","Kainé's Dreams: Discrimination","Sueños de Kainé: discriminación"
"Mistura...","Mixing...","Mezclando..."
"Dois dias depois...","Two Days Later...","Dos días después..."
"Uma semana depois...","One Week Later...","Una semana más tarde..."
"No dia seguinte...","The Next Day...","Al día siguiente..."
"Este é o mundo do receptáculo reciclado, criado para evitar a destruição de todos.","This is the world of the recycled vessel, created to avoid the destruction of all.","Este es el mundo de los receptáculos vacuos, creado para evitar la destrucción total."
"O Rabisco Negro. Um destino perdido. Um livro branco. Uma falsa verdade.","The Black Scrawl. A lost destiny. A white book. A false truth.","La necrosis rúnica. Un destino perdido. Un libro blanco. Una falsa verdad."
"Soldados de sal que chamam a morte branca.<LF>Eles são a Legião, aqueles que mergulharam o mundo na escuridão.","Soldiers of salt calling forth white death. <LF>They are Legion, those who plunged the world into darkness.","Soldados de sal llamando a la muerte blanca.<LF>Esos que hicieron que el mundo se sumiera en la oscuridad se hacen llamar Legión."
"O cadáver do dragão trouxe a morte ao mundo, entregando a ele o poder da magia.","The dragon's corpse brought death to the world, delivering unto it the power of magic.","El cadáver del dragón, con el poder de su magia, inundó de muerte el mundo."
"O Rabisco Negro mancha o futuro. Eles viajam para retornar aos receptáculos sem alma.","The black sickness stains the future. They journey to return to soulless vessels.","La enfermedad negra mancha el futuro. Parten para regresar como receptáculos sin alma."
"O apocalipse dividiu o mundo em dois:<LF>um que não conhece a luz do dia e um que nunca viu a noite.","The apocalypse divided the world in two: <LF>one that knows not day, and one which has never seen the night.","El apocalipsis dividió al mundo en dos: <LF>uno que no conoce el día y otro que jamás ha visto la noche."
"Preto e branco. Treze Pactos. As formas dos receptáculos oscilam à medida que cruzam o tempo e espaço.","Black and white. Thirteen pacts. The vessels' forms waver as they cross time and space.","Blanco y negro. Trece pactos. Las formas de los receptáculos tiemblan al cruzar el tiempo y el espacio."
"A música do homem foi abafada. Em seu lugar, há o grito de algo desumano.","The song of man has been drowned out. In its place, the scream of something inhuman.","La canción del hombre se ha apagado. En su lugar queda el grito de algo inhumano."
"O céu desaba com o dragão. O mundo acaba neste dia.","The sky falls with the dragon. The world ends this day.","El cielo cae con el dragón. El mundo acaba hoy."
"O padre fantoche coleciona preces malditas e lustra o receptáculo.","The puppet priest collects the accursed prayers and polishes the vessel.","El sacerdote, como un títere, recoge las oraciones malditas y limpia el receptáculo."
"Enquanto essa memória existir - enquanto a humanidade tiver esperança - uma batalha sangrenta será travada sobre o domínio sagrado do corpo.","So long as this memory exists—so long as mankind has hope—a bloody battle will be waged over the holy domain of the body.","Mientras este recuerdo perdure y la humanidad<LF>albergue esperanza, se librará una sangrienta batalla<LF>por el dominio sagrado del cuerpo."
"Humano tolo.<LF>Humano tolo.<LF>Humano tolo.<LF><LF>receptáculo tolo.","Foolish human.<LF>Foolish human.<LF>Foolish human.<LF><LF>Foolish vessel.","Estúpido humano.<LF>Estúpido humano.<LF>Estúpido humano.<LF><LF>Estúpido receptáculo."
"Está tudo pago. Tudo é sacrifício.","All is paid. All is sacrifice.","Todo se paga. Todo es sacrificio."
"Não traga de volta a luz.<LF>Não traga de volta o receptáculo.<LF>Não traga de volta o futuro.<LF> Não traga de volta.","Do not bring back the light.<LF>Do not bring back the vessel.<LF>Do not bring back the future.<LF>Do not bring it back.","No devuelvas la luz.<LF>No devuelvas el receptáculo.<LF>No devuelvas el futuro.<LF>No lo devuelvas."
"Todo feixe de luz é um convite para a morte.","Every beam of light is an invitation to death.","Cada rayo de luz es una invitación a morir."
"Dois dias depois...","Two Days Later...","Dos días después..."
"Kainé acordando de seu longo sono petrificado...","Kainé waking from her long petrified sleep...","Kainé despierta de su largo y pétreo letargo..."
"A bondade incansável de Emil...","Emil's unflagging kindness...","La inagotable amabilidad de Emil..."
"Nossa reunião foi feliz,<LF>e deixamos que ela nos banhasse como a chuva.","Our reunion was a happy one,<LF>and we let it wash over us like rain.","Nuestro reencuentro fue feliz y lo disfrutamos muchísimo."
"Isto é, até Devola e Popola arruinarem tudo.","That is, until Devola and Popola had to go and ruin it all.","Pero Devola y Popola tuvieron que mandarlo todo al traste."
"Não dormi muito naquela noite.","I didn't get much sleep that night.","Aquella noche no pegué ojo."
"Pela primeira vez na minha vida, eu odiava Devola.","For the first time in my life, I hated Devola.","Por primera vez en mi vida, sentí odio hacia Devola."
"Pela primeira vez na minha vida, duvidava da Popola.","For the first time in my life, I doubted Popola.","Por primera vez en mi vida, dudé de Popola."
