"Controles","Pressione {01C280} para atacar e {01C298} para defender.","Controls","Press {01C280} to attack and {01C298} to defend.","Controles","Pulsa {01C280} para atacar y {01C298} para defender."
"Combos","Pressione {01C280} várias vezes para executar um combo.","Combos","Tap {01C280} repeatedly to perform a combo attack.","Combinación","Pulsa {01C280} varias veces para ejecutar un ataque combinado."
"Explosão Sombria","{01C299} Dispara pequenas explosões de energia mágica.","Dark Blast","{01C299} Fire tiny bursts of magic energy.","Explosión oscura","{01C299} : Dispara pequeñas ráfagas de energía mágica."
"Fantasma Sombrio","Despacha um doppelganger mágico para atacar inimigos próximos.<LF>Carregue para aumentar o alcance dos ataques.","Dark Phantasm","Dispatch a magical doppelganger to attack nearby enemies.<LF>Charge to increase attack range.","Fantasma oscuro","Envía un clon mágico a atacar a los enemigos cercanos.<LF>Cárgalo para aumentar el alcance del ataque."
"Mão Sombria","Esmurra os inimigos com um poderoso braço mágico<LF>Carregue para aumentar o tamanho do braço.","Dark Hand","Pummel foes with a powerful magical arm.<LF>Charge to increase the size of the arm.","Mano oscura","Golpea a los enemigos con un poderoso brazo mágico.<LF>Carga para aumentar el tamaño del brazo."
"Lança Sombria","{01C29C} Arremessa uma lança mágica devastadora.<LF>Carregue para aumentar o número de lanças.","Dark Lance","{01C29C} Launch a devastating magical spear.<LF>Charge to increase the number of spears.","Lanza oscura","{01C29C} : Arroja una lanza mágica devastadora.<LF>Carga para aumentar la cantidad de lanzas."
"Redemoinho Sombrio","Ataque com lâminas rotativas mágicas.<LF>Carregue para aumentar o número de lâminas.","Dark Whirlwind","Attack with magical rotating blades.<LF>Charge to increase the number of blades.","Remolino oscuro","Ataca con espadas giratorias mágicas.<LF>Carga el ataque para aumentar el número de espadas."
"Gula Sombria","Absorve ataques mágicos inimigos.<LF>Carregue para aumentar o tempo de absorção.","Dark Gluttony","Absorb enemy magic attacks.<LF>Charge to increase absorption time.","Voracidad oscura","Absorbe los ataques mágicos de los enemigos.<LF>Cárgala para aumentar el tiempo de absorción."
"Muro Sombrio","Ergue uma barreira defensiva mágica.<LF>Carregue para aumentar o tamanho da barreira.","Dark Wall","Erect a magical defensive barrier.<LF>Charge to increase the size of the wall.","Muro oscuro","Levanta una barrera defensiva mágica.<LF>Cárgalo para aumentar el tamaño del muro."
"Execução Sombria","Invoca estacas mágicas do chão para empalar inimigos.<LF>Carregue para aumentar o número de estacas.","Dark Execution","Summon magical spikes from the ground to impale enemies.<LF>Charge to increase the number of spikes.","Ejecución oscura","Hace brotar pinchos mágicos del suelo para atravesar a los enemigos.<LF>Carga el ataque para aumentar el número de pinchos."
"Mapas","Pressione {01C286} para exibir um mapa da área atual (se você tiver).","Maps","Press {01C286} to display a map of the current area (if you have one).","Mapas","Pulsa {01C286} para mostrar un mapa de la zona actual (siempre que tengas uno)."
"Interações","Caminhe até um personagem ou objeto e pressione {017E} para interagir com ele.","Interactions","Walk up to a character or object and press {017E} to interact with it.","Interacciones","Acércate a un personaje u objeto y pulsa {017E} para interactuar con él."
"Indicadores de Ataque","Ao lutar contra inimigos grandes, os indicadores de ataque geralmente aparecem<LF>em partes específicas de seus corpos. Destrua essas partes dentro<LF>do tempo limite para derrotar o inimigo.","Attack Gauges","When fighting large enemies, attack gauges will often appear<LF>on specific parts of their bodies. Destroy those parts within<LF>the time limit to defeat the enemy.","Indicadores de ataque","Al enfrentarte a enemigos grandes, aparecerán indicadores de ataque<LF>en partes concretas de sus cuerpos. Destruye esas partes dentro<LF>del límite de tiempo para derrotarlos."
"Salvar","Procure uma caixa de correio para salvar seu progresso.","Saving","Examine a mailbox to save your progress.","Guardar","Examina un buzón para guardar tu progreso."
"Missões","Alguns moradores pedirão que você os ajude em determinadas tarefas.<LF>Para visualizá-las, pressione {01C285} para abrir o menu,<LF>selecione Grimório Weiss e abra a guia Missões.","Quests","Some villagers may ask you to perform jobs for them.<LF>To view any such requests, press {01C285} to open the menu,<LF>select Grimoire Weiss, then choose the Quests tab.","Misiones","Algunos aldeanos te pedirán que los ayudes con ciertas tareas.<LF>Pulsa {01C285} para abrir el menú, selecciona a Grimoire Weiss<LF>y abre la pestaña Misiones para verlas."
"Tipos de Armas","Existem três tipos de armas: espadas com uma mão, espadas de duas mãos e lanças.","Weapon Types","There are three kinds of weapons: one-handed swords, two-handed swords, and spears.","Tipos de armas","Existen tres tipos de armas: espadas a una mano, espadas a dos manos y lanzas."
"Cultivando Plantas","Examine o terreno ao lado da casa de <NIER> para plantar sementes em sua posse.<LF>Com o tempo, elas se tornarão flores, frutas e legumes que você poderá colher.","Cultivating Plants","Examine the field next to <NIER>'s house to plant any seeds in your possession.<LF>Over time, the seeds will grow into flowers, fruits, and vegetables that you can harvest.","Cultivar plantas","Examina el terreno que se encuentra junto a la casa de <NIER> para plantar<LF>semillas. Con el tiempo, estas crecerán y se convertirán en flores, frutas<LF>y verduras que podrás cosechar."
"Forjando Armas","Você pode fortalecer suas armas trazendo os materiais necessários<LF>para a Loja de Armas Dois Irmãos no Lixão e pagando uma taxa.","Forging Weapons","You can strengthen your weapons by bringing the required materials<LF>to the  shop at the Junk Heap and paying a fee.","Forjar armas","Puedes reforzar tus armas en la armería de los hermanos, que se encuentra en la chatarrería.<LF>Para ello deberás reunir los materiales necesarios y pagar un precio."
"Lojas","Você pode comprar e vender itens, armas e materiais nas lojas.","Shops","You can buy and sell items, weapons, and materials at shops.","Tiendas","En las tiendas puedes comprar y vender objetos, armas y materiales."
"Carrinhos de Mina","Use {01C2B6} para alterar a direção de seus ataques mágicos enquanto monta em um carrinho de mina.<LF><LF>Você pode aumentar a velocidade do carrinho movendo-se para frente<LF>e desacelerá-lo movendo-se para trás.","Mine Carts","Use {01C2B6} to change the direction of your magical attacks while riding a mine cart.<LF><LF>Also, the speed of the mine cart can be increased by moving toward the forward-end<LF>and decreased by moving toward the back-end.","Vagonetas de minería","Usa {01C2B6} para cambiar la dirección de tus ataques mágicos mientras vas en una vagoneta.<LF><LF>Puedes aumentar la velocidad de la vagoneta si te desplazas hacia la parte delantera<LF>y reducirla si te desplazas hacia la parte trasera."
"Alterando Magias e Habilidades","Pressione {01C285} para abrir o menu e selecione Magia/Habilidades para definir sua magia e habilidades.","Switching Magic and Abilities","Press {01C285} to open the menu, then select Magic/Abilities to set your magic and abilities.","Cambiar magia y habilidades","Pulsa {01C285} para abrir el menú y selecciona Magia/Habilidades para configurarlas."
"Pescaria","Quando ""Pescar {017E}"" aparecer na tela, pressione {017E} para<LF>escolher a isca e começar a pescar. Quando a vara dobrar,<LF>pressione {017E} para prender o peixe e depois mova {01C2B5} na direção<LF>em frente à posição atual do peixe para reduzir seu HP.<LF>Quando o HP do peixe chegar a zero, ele será capturado automaticamente.","Fishing","When ""{017E}Fish"" is displayed on the screen, press {017E} to<LF>choose your bait and begin fishing. When your rod bends,<LF>press {017E} to hook the fish, then tilt {01C2B5} in the direction<LF>opposite the fish's current position to reduce its HP.<LF>When the fish's HP reaches zero, you will automatically land it.","Pescar","Cuando aparezca ""{017E}Pescar"" en la pantalla,<LF>pulsa {017E} para elegir el cebo y empezar a pescar.<LF>Cuando se doble la caña, pulsa {017E} para recoger carrete.<LF>Luego, mueve {01C2B5} en la dirección opuesta a la posición <LF>del pez para reducir sus PV.<LF>Cuando lleguen a cero, lo sacarás automáticamente."
"Visualizando Cartas","Pressione {01C285} para abrir o menu e selecione Documentos na guia<LF>Notas do Grimório Weiss para visualizar suas cartas e anotações.","Viewing Letters","Press {01C285} to open the menu, then select Documents from<LF>Grimoire Weiss's Notes tab to view your letters and memos.","Ver cartas","Pulsa {01C285} para abrir el menú y luego selecciona Documentos en la pestaña<LF>Notas de Grimoire Weiss para ver tus cartas y notas."
"Mudando de Armas","Pressione {01C28A} para alterar sua arma equipada.","Changing Weapons","Press {01C28A} to change your equipped weapon.","Cambiar armas","Pulsa {01C28A} para cambiar el arma equipada."
"Movendo Caixas","Fique ao lado de uma caixa móvel, segure {017E} e mova seu personagem em sua<LF>direção ou para longe dela para empurrá-la ou puxá-la.<LF>Mova as caixas conforme necessário para avançar.","Moving Boxes","Stand next to a movable box, then hold {017E} and move<LF>your character toward or away from the box to push it<LF>or pull it. Move boxes as needed to create a path forward.","Mover cajas","Colócate junto a una caja móvil, mantén pulsado {017E} y mueve a tu personaje hacia<LF>la caja o en dirección contraria para que la empuje o tire de ella.<LF>Mueve las cajas según lo necesites para avanzar."
,,,,,
"Carregando","Mantenha os botões Ataque ou Magia pressionados para carregar seus ataques e modificar seus efeitos.<LF>Isso pode ser executado a qualquer momento durante um combo.","Charging","Hold the Attack or Magic buttons to charge your attacks, altering their effects.<LF>This can be performed at any point during a combo attack.","Cargar","Mantén pulsado el botón de atacar o de magia para cargar los ataques<LF>y modificar sus efectos. Se puede ejecutar en cualquier momento<LF>durante un ataque combinado."
"Atacando um Inimigo Caído","Pressione {01C298}+{01C280} para causar dano a um inimigo caído.","Attacking a Fallen Enemy","Press {01C298}+{01C280} to damage a downed enemy.","Atacar a un enemigo caído","Pulsa {01C298}+{01C280} para infligir daño a un enemigo caído."
"Esmagador de Crânios","Pressione {017F} enquanto estiver no ar para executar um ataque especial de quebrar crânios. (Somente espadas)","Skull Cracker","Press {017F} while airborne for a skull-cracking special attack. (Swords only.)","Quebrantacráneos","Pulsa {017F} estando en el aire para ejecutar un ataque especial quebrantacráneos (solo con espada)."
"Desviando Ataques","Pressione {01C298} no momento certo para desviar o ataque de um<LF>inimigo e desequilibrá-lo.<LF>Em seguida, use sua arma imediatamente para lançar um contra-ataque devastador.","Deflecting","Press {01C298} at the right moment to deflect an enemy's attack and throw it off balance,<LF>then immediately swing your weapon to unleash a devastating counterattack.","Repeler","Pulsa {01C298} en el momento preciso para repeler el ataque de un enemigo y hacer que <LF>pierda el equilibrio. Acto seguido, usa tu arma para realizar un contraataque devastador."
"Ataques Rápidos","Pressione {017F} para executar ataques rápidos. (Somente Lanças)","Dash Charges","Press {017F} for a dash charge. (Spears only.)","Ataques en carrera","Pulsa {017F} para ejecutar un ataque en carrera (solo con lanza)."
"Ataques Aéreos Rápidos","Pressione {017F} enquanto estiver no ar para executar um ataque aéreo. (Somente Lanças)","Air-Dash Charges","Press {017F} while airborne for an air-dash charge. (Spears only.)","Ataques en carrera aéreos","Pulsa {017F} estando en el aire para ejecutar un ataque en carrera aéreo (solo con lanza)."
"Ataques Giratórios","Pressione {017F} para executar um ataque giratório. (Somente espadas com duas mãos)","Spinning Attacks","Press {017F} for a spinning attack. (Two-handed swords only.)","Ataques giratorios","Pulsa {017F} para ejecutar un ataque giratorio (solo con espadas a dos manos)."
"Esquivar-se","Pressione {01C2B5} na direção de um inimigo e pressione {01C297} para se esquivar dele.","Sidestepping","Hold {01C2B5} in the direction of an enemy and press {01C297} to sidestep behind them.","Hacerse a un lado","Mueve {01C2B5} en dirección a un enemigo y pulsa {01C297} para posicionarte detrás de él."
"Esquivar-se e Atacar","Pressione {01C280} no momento certo após uma esquiva para executar um ataque único.","Sidestep Attacks","Press {01C280} at the right moment after a sidestep for a unique attack.","Hacerse a un lado y atacar","Pulsa {01C280} en el momento preciso después de hacerte a un lado para ejecutar un ataque único."
"Combo + Carga Mágica","Mantenha o botão Magia pressionado durante um combo para adicionar um ataque mágico carregado ao combo.","Combo + Magic Charging","Hold down the Magic button during a combo to add a charged magical attack to the chain.","Combinación + carga mágica","Mantén pulsado el botón de magia durante una combinación para incorporar un<LF>ataque mágico cargado a la sucesión."
"Resistência à Magia","Alguns inimigos são resistentes à magia. Você terá que derrotá-los com armas convencionais.","Magic Resistance","Some enemies are impervious to magic. You must defeat these enemies with regular weaponry.","Resistencia mágica","Algunos enemigos son inmunes a la magia y tendrás que derrotarlos con armas convencionales."
"Anular","Pressione {01C298} para se recuperar rapidamente quando for atingido por um inimigo.","Cancels","Press {01C298} to recover quickly when blown back by an enemy.","Cancelaciones","Pulsa {01C298} para recuperarte rápidamente cuando un enemigo te golpee."
"Anular no Ar","Você pode usar a função Anular para se recuperar, mesmo no ar.","Air Cancels","You can use the cancel function to recover, even in midair.","Cancelaciones aéreas","Puedes usar la función de cancelación para recuperarte incluso en el aire."
"Contra-ataques","Pressione {017F} após se recuperar no ar para executar um ataque especial com sua arma.","Counterattacks","Press {017F} after recovering in midair to execute your weapon's special attack.","Contraataques","Pulsa {017F} después de recuperarte en el aire para ejecutar un ataque especial con tu arma."
"Quebras de Defesa","Caso o inimigo defenda seu ataque, você poderá quebrar a defesa se continuar atacando.","Guard Breaks","If your attack is blocked, you can break the enemy's guard by continuing to attack.","Rupturas de guardia","Si te bloquean un ataque, puedes romper la guardia del enemigo si sigues atacando."
"Quebras de Defesa Contra Ataque Pesado","Pressione {017F} para realizar ataques pesados que podem quebrar as defesas de um inimigo com mais facilidade.","Heavy Attack Guard Breaks","Press {017F} to unleash heavy attacks that can more easily break an enemy's guard.","Rupturas de guardia con ataques pesados","Pulsa {017F} para ejecutar ataques pesados que puedan romper la guardia de un enemigo con mayor facilidad."
"Ganhando Dinheiro","Em vez de vender matérias-primas para lojas, procure alguém<LF>quem precise delas. Dessa forma, você poderá ganhar mais dinheiro.","Earning Money","Instead of selling raw materials to shops, look for someone<LF>who needs the material. You'll often earn more that way.","Ganar dinero","En lugar de vender materiales a las tiendas, busca a alguien que necesite el<LF>producto en cuestión. De esta forma se suele ganar más dinero."
"Dica de Pesca","Iscas diferentes podem atrair diferentes tipos de peixes, mesmo se você estiver pescando no mesmo local.","Fishing Tip","Different baits can cause different fish to bite, even if you're fishing the same spot.","Consejo de pesca","Cada tipo de cebos atrae a peces diferentes, aunque pesques en el mismo lugar."
"Dica de Pesca 2","Você pode pegar peixes em alguns pontos na areia do deserto.","Fishing Tip 2","You can catch fish at some spots in the desert sand.","Consejo de pesca 2","En el desierto hay algunos sitios donde se puede pescar."
"Dica de Pesca 3","A conclusão de determinadas missões aumentará sua habilidade de pesca, facilitando a captura de peixes maiores.","Fishing Tip 3","Completing certain quests will raise your fishing skill, making it easier to catch larger fish.","Consejo de pesca 3","Al completar ciertas misiones, subirá tu habilidad de pesca, lo que te permitirá<LF>capturar peces más grandes."
"Dica de Pesca 4","Você pode usar {017D} para fisgar em um peixe, mesmo que o HP não esteja completamente esgotado.<LF>Quanto mais HP ele tiver, menor a probabilidade de capturá-lo.","Fishing Tip 4","You can use {017D} to reel in a fish even if its HP is not completely depleted.<LF>The more HP it has, the less likely you'll land the fish.","Consejo de pesca 4","Puedes usar {017D} para recoger carrete aunque los PV del pez no se hayan agotado.<LF>Cuantos más PV tenga, menos probabilidades tendrás de sacarlo."
"Dica de Pesca 5","Alguns peixes podem ser usados como isca para pegar peixes maiores.","Fishing Tip 5","Some fish can be used as bait to catch bigger fish.","Consejo de pesca 5","Algunos peces se pueden usar como cebo para pescar otros más grandes."
"Inimigos Blindados","Ataques mágicos podem retirar a armadura dos inimigos e torná-los<LF>mais vulneráveis a ataques físicos.","Armored Enemies","Magical attacks can knock armor off enemies, making them more susceptible to physical attacks.","Enemigos blindados","Los ataques mágicos pueden quitarles la armadura a los enemigos y volverlos más<LF>vulnerables a los ataques físicos."
"Controlando Javalis","Montar/Desmontar: {017E}<LF>Mover: {01C2B5}<LF>Acelerar: {01C284}<LF>Drift: Segure {01C283} e mova {01C2B5} para esquerda ou direita enquanto acelera.","Controlling Boars","Mount/Dismount: {017E}<LF>Move: {01C2B5}<LF>Accelerate: {01C284}<LF>Drift: Hold {01C283} and move {01C2B5} left or right while accelerating.","Montar en jabalí","Montar/Desmontar: {017E}<LF>Desplazarse: {01C2B5}<LF>Acelerar: {01C284}<LF>Girar: mantén pulsado {01C283} y mueve {01C2B5} a izquierda o derecha mientras aceleras."
"Bombas","Pegar/Soltar: {017E}<LF>Arremesar: {01C2B5}+{017E}","Bombs","Pick up/Drop: {017E}<LF>Throw: {01C2B5}+{017E}","Bombas","Recoger/Soltar: {017E}<LF>Lanzar: {01C2B5}+{017E}"
"Caixas Quebráveis","Algumas caixas podem ser destruídas ao serem atacadas.","Breakable Boxes","Some boxes can be destroyed by attacking them.","Cajas frágiles","Algunas cajas se pueden romper al golpearlas."
"Barreiras Quebráveis ","Algumas barreiras podem ser destruídas com explosivos.","Breakable Barriers","Some barriers can be destroyed with explosives.","Barreras frágiles","Algunas vallas se pueden destruir con explosivos."
"Coletando Itens","Às vezes, você verá pontos brilhantes enquanto estiver viajando.<LF>Examine-os para receber itens.","Gathering Items","You may occasionally see a sparkling point on your travels. Examine it to receive items.","Recoger objetos","A veces verás marcas brillantes mientras viajas. Examínalas para conseguir objetos."
"Itens Ocultos","Alguns itens necessários podem estar escondidos no terreno.<LF>Procure por pontos brilhantes ou quebre as caixas de madeira para coletar os itens em seu interior.","Hidden Items","Some required items may be hidden in the field.<LF>Search for sparkling points or break wooden boxes to obtain the items inside.","Objetos ocultos","Algunos objetos están ocultos en el terreno.<LF>Busca marcas brillantes o rompe cajas de madera para conseguir los objetos de su interior."
"Palavras","Às vezes, você pode obter palavras dos inimigos que derrotou.<LF>Selecione Editar Palavras no menu Grimório Weiss para atribuí-las<LF>a magias, armas ou artes marciais.<LF>Elas podem adicionar vários efeitos poderosos!","Words","You may occasionally obtain words from fallen enemies.<LF>Select Word Edit from the Grimoire Weiss menu to assign<LF>these words to magic, weapons, or martial arts.<LF>This can add a variety of powerful effects!","Palabras","A veces, puedes obtener palabras de los enemigos derrotados.<LF>Selecciona Editar palabras en el menú de Grimoire Weiss para asignarlas a armas,<LF>magia o artes marciales.<LF>¡Pueden añadir varios efectos muy poderosos!"
"Ordenar Aliados","Selecione Ordens com {01C285} para direcionar seus aliados em combate.","Ordering Allies","Select Orders with {01C285} to direct your allies in battle.","Dar órdenes a aliados","Selecciona Órdenes con {01C285} para controlar a tus aliados en combate."
"Ordenar Animais","Você pode chamar alguns animais, incluindo aqueles que escaparam, selecionando Ordens com {01C285}.","Ordering Animals","Some animals, including escaped ones, can be called to you by selecting Orders with {01C285}.","Dar órdenes a animales","Puedes llamar a algunos animales, incluidos los que se hayan escapado,<LF>seleccionando Órdenes con {01C285}."
"Atalhos de Itens e Equipamentos","Itens: {01C287}<LF>Espadas de duas mãos: {01C288}<LF>Lanças: {01C289}<LF>Espadas de uma mão: {01C28A}","Item and Equipment Shortcuts","Items: {01C287}<LF>Two-handed swords: {01C288}<LF>Spears: {01C289}<LF>One-handed swords: {01C28A}","Atajos de equipo y objetos","Objetos: {01C287}<LF>Espadas a dos manos: {01C288}<LF>Lanzas: {01C289}<LF>Espadas a una mano: {01C28A}"
"Chutes na Parede","Enquanto estiver no ar e perto de uma parede, pressione {01C2B5}+{01C297} para executar um chute na parede.","Wall Kicks","While near a wall in midair, press {01C2B5}+{01C297} to perform a wall kick.","Patadas de pared","Cuando estés cerca de una pared en el aire, pulsa {01C2B5}+{01C297} para ejecutar una patada de pared."
"Noções Básicas de Combo","No final de um combo de espada com uma mão realizada com {01C280},<LF>pressione {017F} para executar um ataque pesado e reduzir o tempo<LF>entre um combo e outro.","Combo Basics","At the end of a one-handed sword combo performed with {01C280},<LF>press {017F} to execute a heavy attack and cut down the time<LF>between one combo and the next.","Fundamentos de los combos","Pulsa {01C280} al final de un combo de espada a una mano con {017F}<LF>para ejecutar un ataque pesado y reducir el tiempo<LF>entre un combo y el siguiente."
"Repelir a Magia Inimiga","Você pode evitar danos e absorver o MP, atacando os orbes mágicos dos inimigos com sua arma.","Deflecting Enemy Magic","You can avoid damage and absorb MP by attacking enemies' magic orbs with your weapon.","Repeler magia enemiga","Puedes evitar daño y absorber PM al golpear los orbes mágicos de los enemigos con tu arma."
"Lutando Contra Inimigos Resistentes à Magia","Inimigos que normalmente são resistentes a ataques mágicos<LF>podem se tornar vulneráveis a eles enquanto estão caídos.","Fighting Magic-Resistant Enemies","Enemies normally unaffected by magical attacks<LF>may become vulnerable to them when they're down.","Luchar contra enemigos resistentes a la magia","Los enemigos a los que no les afectan los ataques mágicos se pueden volver<LF>vulnerables cuando están caídos."
"Lobos Lutadores","Se um lobo te morder, pressione {01C280} repetidamente para livrar-se dele.","Fighting Wolves","If a wolf bites you, tap {01C280} repeatedly to shake it off.","Luchar contra lobos","Si un lobo te muerde, pulsa {01C280} repetidas veces para que te suelte."
"Explosões Sombrias Mais Poderosas","O primeiro raio de uma Explosão Sombria é mais poderoso que o resto.<LF>Para disparar rapidamente esses raios poderosos, pressione {01C299} repetidamente em vez de mantê-lo pressionado.","Stronger Dark Blasts","The first bolt of a Dark Blast is stronger than the rest.<LF>To rapid-fire these powerful blasts, tap {01C299} repeatedly instead of holding it down.","Explosiones oscuras más poderosas","El primer proyectil de una explosión oscura es más poderoso que el resto.<LF>Para disparar rápido estas potentes descargas,<LF>pulsa {01C299} repetidas veces en lugar de mantenerlo pulsado."
"Colheitas","A quantidade de itens que você pode colher do campo depende de fertilizantes e rega.<LF>A frequência da rega afeta as plantas apenas durante cada estágio de crescimento; portanto, tente regá-las um pouco de cada vez ao longo de um período prolongado.","Harvests","The amount of items you can harvest from your field depends on fertilizer and water supply.<LF>Watering frequency only affects plants at each stage of growth, so try watering a little bit over a long period of time.","Cosechas","Las cosechas que puedes conseguir de los campos dependen del fertilizante y del riego.<LF>La frecuencia de riego solo afecta a las plantas en cada periodo de crecimiento,<LF>así que intenta regarlas un poco durante un largo periodo."
