"Afastem-se, seus monstros!","Get away, you freaks!","¡Largo de aquí, monstruos!"
"Eu vou matar todos vocês!","I'll kill you all!","¡Os voy a matar a todos!"
,,
,,
"Maldição... Quantas dessas coisas existem?","Damn... How many of these things are there?","Maldita sea... ¿Cuántos hay?"
"Eles continuam chegando!","They just keep coming!","¡No dejan de aparecer!"
"Eu não vou deixar vocês encostarem na Yonah!","I won't let you lay a finger on Yonah!","¡No permitiré que le pongas la mano encima a Yonah!"
,,
"Eu não vou permitir que você faça isso!","I won't let you do this!","¡No dejaré que te salgas con la tuya!"
"Eu não vou deixar ninguém machucar a Yonah!","I won't let anyone hurt Yonah!","¡No permitiré que nadie le haga daño a Yonah!"
"Então esse é o poder do livro preto...","So this is the power of the black book...","Así que este es el poder del libro negro..."
"Isso é tudo o que você tem!?","Is that all you got!?","¡¿Eso es todo?!"
"Bom, droga. Acho que não vou poder atravessar por aqui.","Well, crap. Guess I won't be crossing here.","Vaya, hombre. No vamos a poder pasar por aquí."
"Maldição! O que essas Sombras estão fazendo tão perto da cidade?","Damn! What are Shades doing so close to town?","¡Maldición! ¿Qué hacen las Sombras tan cerca de la ciudad?"
"Eu não posso deixá-los escapar.","I can't just let 'em go.","No puedo quedarme sin hacer nada."
"Eu tenho que proteger a vila e a Yonah!","I have to protect the village. And Yonah!","Debo proteger la aldea. ¡Y a Yonah!"
"Eu não tinha ideia de que as Sombras estavam soltas tão perto da vila...","I had no idea Shades were loose so close to the village...","No sabía que había tantas Sombras cerca de la aldea..."
"Eu não posso deixá-las escapar.","I can't just let 'em go.","No puedo quedarme sin hacer nada."
"Eu nem posso mais caçar em paz.","I can't even go hunting in peace anymore.","Ya no puedo ni salir a cazar tranquilamente."
"Eu preciso levar esta carne para o comerciante.","I'd better get this meat to the shopkeeper.","Más vale que le lleve esta carne al tendero."
"Yonah...","Yonah...","Yonah..."
"Eu tenho que chegar ao portão leste.","I have to get to the eastern gate.","Tengo que llegar a la puerta este."
"Ah não, há Sombras aqui também!?","Oh no, there are Shades here, too!?","Oh, no, ¡¿aquí también hay Sombras?!"
"Ela nunca vai conseguir sair daqui!","She'll never make it out of here!","¡Jamás logrará salir de aquí!"
"Eu estou chegando, Yonah!","I'm coming, Yonah!","¡Ya voy, Yonah!"
"Qual é o problema com essas coisas!?","What is it with these things!?","¡¿Qué pasa con estas cosas?!"
"Eu não tenho tempo para isso! Eu tenho que salvar a Yonah!","I don't have time for this! I have to save Yonah!","¡No tengo tiempo para esto! ¡Tengo que salvar a Yonah!"
"Devolve ela!","Give her back!","¡Devuélvemela!"
"Saiam do meu caminho!","Get out of my way!","¡Fuera de mi camino!"
"Devolve minha irmã!","Give my sister back!","¡Devuélveme a mi hermana!"
"Yonah!","Yonah!","¡Yonah!"
"Pelos céus, nunca fui tratado de tal maneira!","By the heavens, I have never been treated in such a manner!","¡Por todos los cielos! ¡Jamás me habían tratado así!"
"Eu sou um ser de importância incalculável, e ainda<LF>assim você se aproxima de mim como uma barata qualquer.","I am a being of incalculable importance, and yet<LF>you approach me as a common cockroach.","Mi valor es incalculable y, aun así, te me acercas como una vulgar cucaracha."
"Yonah! Diga alguma coisa!","Yonah! Say something!","¡Yonah! ¡Di algo!"
"Yonah? YONAH!","Yonah? YONAH!","¿Yonah? ¡Yonah!"
"Bah! É por isso que eu detesto lidar com pessoas.","Bah! This is why I loathe dealing with people.","¡Bah! Por esto mismo detesto relacionarme con la gente."
"Agora veja bem! Eu admiro sua coragem: Um jovem, enfrentando tudo sozinho contra probabilidades impossíveis...","Now see here! I admire your pluck: One young man, going it alone against impossible odds...","¡Vaya! Admiro tu gallardía: un joven en solitario contra viento y marea..."
"VAMOS LÁ, Yonah!","Come ON, Yonah!","¡Vamos, Yonah!"
"Mas um plano desses é incrivelmente tolo!","But such a plan is incredibly foolish!","¡Pero ese plan es absolutamente ridículo!"
"Você está diante da sabedoria antiga!","You stand in the presence of ancient wisdom!","¡Estás en presencia de una sabiduría antigua!"
"Eu sou um texto do tipo mais sombrio e arcano,<LF>e eu poderia ser de grande ajuda para você.","I am a text of the darkest, most arcane type,<LF>and I could be of great assistance to you.","Soy un tomo de lo más misterioso y arcano. Podría ser de gran ayuda para ti."
"Você é um o quê!?","...You're a what!?","¡¿Que eres qué?!"
"De fato, eu poderia eliminar essas criaturas sem cérebro como se fossem meras moscas, se eu quisesse.","Indeed, I could swat these mindless creatures like mere flies, were I so inclined.","De hecho, podría aplastar a estos seres inmundos como moscas si quisiera."
"Eu sou Grimório Weiss! Meu nome traz reinos ao chão!","I am Grimoire Weiss! My very name brings kingdoms to their knees!","¡Soy Grimoire Weiss! ¡Los reinos se arrodillan ante mi nombre!"
"Eu tenho que ajudar Yonah primeiro.","I have to help Yonah first.","Antes tengo que ayudar a Yonah."
"Yonah!","Yonah!","¡Yonah!"
"Yonah? YONAH!","Yonah? YONAH!","¿Yonah? ¡Yonah!"
"Eu lhe concederei uma última chance: Curve sua cabeça e aceite meu poder, ou vá sozinho e falhe.","I will grant you one final chance: Bow your head and accept my power, or go it alone and fail.","Una última oportunidad: agacha la cabeza y acepta mi poder o fracasa a solas."
"Você está na presença da sabedoria antiga!","You stand in the presence of ancient wisdom!","¡Estás en presencia de una sabiduría antigua!"
"Pronto. Então como salvamos Yonah?","There. So how do we save Yonah?","Bien. ¿Y cómo salvamos a Yonah?"
"Assim que eu destruir essas Sombras, a barreira mágica que impede sua passagem deve simplesmente... desaparecer.","Once I destroy these Shades, the magic barrier preventing your passage should simply...disappear.","Cuando destruya a estas Sombras, la barrera mágica... debería desaparecer."
"Você realmente pode fazer isso?","You can really do that?","¿Puedes hacer algo así?"
"Bwah hah hah! Eu sou Grimório Weiss!<LF>Meu nome traz reinos ao chão!","Bwah hah hah! I am Grimoire Weiss!<LF>My very name brings kingdoms to their knees!","¡Ja, ja, ja! ¡Soy Grimoire Weiss! ¡Los reinos se arrodillan ante mi nombre!"
"Então faça isso logo, Weiss!","Then do it already, Weiss!","¡Pues hazlo ya, Weiss!"
"Gah! Você vai se referir a mim pelo meu nome completo e adequado!","Gah! You will refer to me by my full and proper name!","¡Bah! ¡Te dirigirás a mí por mi verdadero nombre completo!"
"Eles simplesmente não param de vir!","They just keep coming!","¡No dejan de aparecer!"
"Você não deveria ter voltado suas espadas contra mim, criaturas vis!","You should not have turned your blades on me, foul creatures!","No os deberíais haber vuelto contra mí, ¡bestias inmundas!"
"Com uma única palavra, eu, Grimório Weiss, posso destruir o universo inteiro! Agora! Prepare-se para...","With a single word, I, Grimoire Weiss, can shatter the very universe itself! Now! Prepare to...","¡Con una sola palabra, yo, Grimoire Weiss, puedo pulverizar el universo!"
"Prepare-se para... Er...","Prepare to... Er...","Prepárate para... Eh..."
"Oh céus.","Oh dear.","Ay, madre."
"Oh céus?","Oh dear?","¿Ay, madre?"
"Parece que a agitação que você me causou antes<LF>fez minha memória escapar de mim.","It seems that the frantic bludgeoning you gave me earlier<LF>has caused my memory to escape me.","Parece que la severa paliza que me diste antes me ha borrado la memoria."
"Você está falando sério!?","Are you for real!?","¡¿Me estás tomando el pelo?!"
"Você não é NEM DE PERTO tão útil quanto afirmou ser!","You are not NEARLY as helpful as you claimed to be!","¡Tus prestaciones ni siquiera se acercan a lo que prometías!"
,,
