"Yonah!?","Yonah!?","¡¿Yonah?!"
,"no text","no text"
"Posso ir hoje com você?","Can I come with you today?","¿Puedo acompañarte hoy?"
"Melhor não, provavelmente vou caçar.","Better not—I'm probably going hunting.","Será mejor que no, puede que salga a cazar."
"Tenha cuidado, certo?","Be careful, okay?","Ten cuidado, ¿vale?"
"Hum... te amo.","Um...love you.","Y... te quiero."
"Ficarei bem enquanto você estiver fora. Eu prometo.","I'll be good while you're gone. I promise.","Me portaré bien en tu ausencia. Prometido."
"Desculpe por estar tão doente.","I'm sorry I'm so sick.","Siento estar tan enferma..."
"E aí! Acho que a Popola está esperando por você na biblioteca.","Howdy! I think Popola's expecting you in the library.","¡Hola! Creo que Popola te espera en la biblioteca."
"A Popola tava dizendo que precisava falar com você.","Popola was sayin' she needed to talk to you.","He oído que Popola necesita ayuda con algo."
"Acho que a Popola tá te esperando na biblioteca.","I think Popola's waitin' for ya in the library.","Creo que Popola te está esperando en la biblioteca."
"Acho que a taberna ainda não abriu.","I guess the tavern's not open yet.","Supongo que la taberna no está abierta aún."
"Bom dia.","Mornin'.","Buenos días."
"Olá, Devola!","Hey, Devola!","Hola, Devola."
"Se continuar correndo por aí desse jeito, vai tropeçar e cair de cara no chão.","You keep running around like that, you're gonna trip and fall on your face.","Si sigues correteando de un lado a otro, vas a terminar cayéndote de morros."
"Ha! Acho que vou ficar bem, mas obrigado pelo aviso.","Ha! I think I'll be okay, but thanks for the warning.","¡Ja! No me pasará nada, pero gracias por preocuparte."
"Eu sei que Yonah significa tudo para você, mas não se sobrecarregue, tudo bem?","I know Yonah means everything to you, but don't overwork yourself, all right?","Sé que Yonah lo es todo para ti, pero no te mates a currar, ¿vale?"
"Bom dia. Como a Yonah está hoje?","Good morning. How's Yonah doing today?","Buenos días. ¿Qué tal está hoy Yonah?"
"A tosse dela ainda está bem ruim.","Her cough's still pretty bad.","La tos no mejora."
"Hmm. Isso é preocupante.","Mmm. That's worrisome.","Mmm... Eso es preocupante."
"Eu sei.","I know.","Lo sé."
"Tenho esperança de que ela melhore pelo menos um <FONT=ITALIC>pouco</FONT>, mas...","I keep hoping she'll at least get a <FONT=ITALIC>little</FONT> better, but...","Sigo esperando a que mejore aunque sea <FONT=ITALIC>un poco</FONT>, pero..."
"Não sei. Sinto que estou falhando com ela.","I dunno. I feel like I'm failing her.","No sé. Me da la sensación de que le estoy fallando."
"Ei, para com isso! Você é o melhor irmão que uma garota poderia ter.","Oh, stop that! You're the finest brother a girl could hope to have.","¡Ni se te ocurra pensar eso! Eres el mejor hermano que podría tener."
"Enfim, eu estava esperando que você pudesse cuidar disso para mim.","Anyway, I was hoping you might take care of this for me.","En fin, esperaba que pudieras echarme una mano con un asunto."
"Recebi um pedido de alguém no distrito comercial. Eles precisam que você pegue algumas carnes de carneiro das planícies do norte.","I got a request from someone in the shopping district. They need you to get some mutton from the northern plains.","Tengo un pedido procedente del distrito comercial: necesitan carne de carnero de las llanuras del norte."
"Entendi. Estou a caminho.","Got it. I'm on my way.","Entendido. Voy para allá."
"Já que você vai para as planícies, deixe-me te dar um mapa.","Since you're going to the plains, let me give you a map.","Si vas a ir a las llanuras, deja que te dé un mapa."
"Confie em mim, isso será útil.","Trust me, it'll come in handy.","Seguro que te resulta útil."
"Ah, mais uma coisa...","Oh, and one more thing...","Ah, y una cosa más..."
"Você se importaria de comprar três ervas medicinais do cliente quando chegar lá?","Would you mind purchasing three medicinal herbs from the client while you're at it?","Ya que vas, ¿te importaría comprarme tres plantas medicinales del cliente?"
"Eu usei a minha última mais cedo.","I used my last one earlier.","Ya no me quedan."
"Pegue um pouco de dinheiro.","Here's some money.","Toma algo de dinero."
"Popola, mas isso é demais.","Popola, this is way too much.","Popola, aquí hay de sobra."
"Bem, então compre alguns para Yonah enquanto estiver lá.","Well then, buy some for Yonah while you're at it.","Bueno, entonces compra también para Yonah."
"Você não precisa—","You don't have to—","No tienes por qué..."
"Tá tudo bem. Sério.","It's okay. Really. ","Anda, no te preocupes. "
"São três pedaços de carne de carneiro e três ervas medicinais, certo? Obrigada!","That's three pieces of mutton and three medicinal herbs, all right? Thanks!","A ver... tres piezas de carnero y tres plantas medicinales, ¿no? ¡Gracias!"
"Obrigado, Popola. Por tudo.","Thanks, Popola. For everything.","Gracias por todo, Popola."
"Por que cê tá dizendo isso?","What's this all about?","¿A qué viene todo esto?"
"É essa... maneira como você e os outros moradores sempre cuidam de nós.","Just...the way you and the other villagers always take care of us.","Es por... la forma en que tú y los otros aldeanos os preocupáis por nosotros."
"Nós agradecemos muito, só isso.","We really appreciate it, is all.","Lo agradecemos mucho, eso es todo."
"Heh. Não precisa agradecer. As pessoas precisam cuidar umas das outras, certo?","Heh. Think nothing of it. People need to look out for each other, right?","Je. No hay de qué. ¿Qué menos que preocuparnos los unos por los otros?"
"Além disso, todos aqui querem ver Yonah saudável e feliz. Então aguente firme, tudo bem?","Besides, everyone here wants to see Yonah healthy and happy.<LF>So hang in there, okay?","Además, todos estamos deseando que Yonah se recupere y vuelva a sonreír.<LF>Así que anímate, ¿vale?"
"Aguentarei.","I will.","Eso haré."
"(...Yonah?)","(...Yonah?)","(¿Yonah?)."
"(O que ela está fazendo aqui?)","(What's she doing here?)","(¿Qué hace aquí?)."
"Yonah?","Yonah?","¿Yonah?"
"Ah, oi!","Oh, hey!","¡Vaya, hola!"
"Yonah, você deveria estar na cama.","Yonah, you're supposed to be in bed.","Yonah, deberías estar en la cama."
"Tch. Tá vendo? Agora a sua fita está toda desamarrada.","Tch. See? Now your ribbon's all undone.","¿Ves? Se te ha desatado el lazo."
"Me desculpa...","I'm sorry...","Lo siento..."
"Só achei que pudessem existir livros aqui na biblioteca que falassem sobre curar minha doença.","I just thought I'd see if the library had any books about how to cure my sickness.","Solo quería buscar en la biblioteca libros sobre cómo curar mi enfermedad."
"Yonah...","Yonah...","Yonah..."
"Olha, não se preocupe. Você vai ficar bem.","Look, don't worry. You're gonna be fine.","Escucha, no te preocupes. Todo va a ir bien."
"Você só precisa comer e descansar. Se você se cuidar direitinho, ficará melhor.","You just need to eat and rest. If you take good care of yourself, you'll get better.","Tienes que comer y descansar. Si te cuidas como es debido, te curarás."
"Você acha mesmo?","You really think so?","¿De verdad lo crees?"
"Tenho certeza!","I know so!","¡Estoy seguro!"
"Bom, tenho trabalho a fazer, então preciso que você vá para casa. Fechado?","Anyway, I've got work to do, so I need you to head home. Deal?","Mira, tengo cosas que hacer, así que necesito que vayas directa a casa. ¿Prometido?"
"Fechado!","Deal!","Prometido."
"Parece que não tem ninguém aqui.","Doesn't seem like anyone's here.","No parece que haya nadie."
"Aqui está a carne de carneiro que você queria!","Here's that mutton you wanted!","Traigo la carne de carnero que querías."
"Ah, obrigado! Você nem vai acreditar em como isso se popularizou ultimamente. Ah, e isso não é muito, mas eu gostaria de te dar isso.","Oh, thank you! You wouldn't believe how popular this stuff has been lately. Oh, and this isn't much, but I'd like you to have it.","¡Gracias! Es increíble lo popular que se ha vuelto esta carne últimamente. Por cierto, no es gran cosa, pero toma esto."
"E diga a Popola que eu agradeci, certo?","And tell Popola I said thanks, okay?","Y dale las gracias a Popola, ¿vale?"
"Pode deixar.","You got it.","Eso haré."
