"Outra pobre vítima...","Yet another poor victim...","Otra pobre víctima..."
"Droga. Quando isso vai parar!?","Dammit. When will this stop!?","Maldita sea. ¡¿Cuándo va a terminar esto?!"
"Você realmente vai abandoná-los?","Are you truly going to abandon them?","¿De verdad piensas abandonarles?"
"É perigoso aqui. Você deveria voltar.","It's dangerous here. You should get back.","Este sitio es peligroso. Deberías volver."
"Oh, deuses... Levante-se, querido, por favor... LEVANTE-SE!","Oh, gods... Get up, honey, please... GET UP!","Ay, dios... Levántate, cielo, por favor... ¡Levanta!"
"Malditas Sombras que estão atacando a vila.","Goddamn Shades are even attacking the village now.","Ahora, las malditas Sombras también están atacando la aldea."
"E algumas com armaduras, ainda.","And armored ones, no less.","Y, para colmo, van blindadas."
"Essa sua vila parece estar mudando para pior.","This village of yours seems to be changing for the worse.","Esta aldea tuya parece que va de mal en peor."
"A culpa é toda do Shadowlord. Aquele dia mudou tudo...","It's all the Shadowlord's fault. That one day changed everything...","Todo es culpa del Señor de las sombras. Aquel día lo cambió todo..."
"Cinco longos anos...","Five long years...","Cinco largos años..."
"*soluço*","*sob*","*sollozo*"
"É melhor deixá-la em paz.","Best to leave her be.","Será mejor que la dejemos en paz."
"Você realmente cresceu. Aposto que Yonah também.","You've really grown up. I bet Yonah has too.","Hay que ver lo grande que estás. Seguro que Yonah también ha crecido mucho."
"Não é só você, sabe? A vila inteira está preocupada com a Yonah!","It's not just you, you know? The whole village is worried about Yonah!","No estás solo, ¿sabes? ¡Toda la aldea está preocupada por Yonah!"
"Talvez seja hoje o dia em que finalmente encontraremos Yonah. Vamos torcer pelo melhor, querido.","Maybe today is the day we finally find Yonah. Here's hoping for the best, dear.","Quizá hoy sea el día en el que por fin demos con Yonah. Hay que confiar, cielo."
"Aquelas criaturas destruíram minhas plantações! O que vou fazer agora?","Those creatures destroyed my crops! What am I going to do now?","¡Esas criaturas han destrozado mi cosecha! ¿Qué voy a hacer ahora?"
