"Cui...dado...","Be...ware...","Ten... cuidado..."
"Cuidado... com as pal...avras...","Be...ware...the wor...ds...","Ten... cuidado... las pala... bras..."
"As palavras? O que você quer dizer?","The words? What do you mean?","¿Palabras? ¿A qué te refieres?"
"Palavras... contagiosas...","Contagious...words...","Palabras... contagiosas..."
"Aqueles... que... sonham...","Those...who...dr...eam...","Los que... sue... ñan..."
"Aqueles que sonham?","Those who dream?","¿Los que sueñan?"
"Oi!","Hi there!","¡Buenas!"
"......","......","......"
"......","......","......"
"Um... olá?","Um...hello?","Eh... ¿hola?"
"......","......","......"
"Como sempre ""alegre e radiante"", Popola.","Real ""bright and cheerful,"" Popola.","Muy ""alegres y animadas"", Popola."
"......","......","......"
"Oh, muito obrigado!","Oh, thank you so much!","Vaya, ¡muchas gracias!"
"Agora finalmente posso voltar a minha vida normal.","Now I can finally return to a normal life.","Al fin puedo retomar mi vida normal."
"Essa é uma das doenças mais bizarras que já encontrei.","This is one of the most bizarre diseases I have ever encountered.","Esta es una de las enfermedades más extrañas que he visto nunca."
"Eu sei. É por isso que temos que ajudar os outros aldeões, não importa o que aconteça.","I know. That's why we have to help the other villagers, no matter what.","Lo sé. Por eso tenemos que ayudar a los demás aldeanos pase lo que pase."
"Agora finalmente posso voltar a minha vida normal.","Now I can finally return to a normal life.","Al fin puedo retomar mi vida normal."
"Esta é uma das doenças mais bizarras que já encontrei.","This is one of the most bizarre diseases I have ever encountered.","Esta es una de las enfermedades más extrañas que he visto nunca."
"Eu sei. É por isso que temos que ajudar os outros aldeões, não importa o que aconteça.","I know. That's why we have to help the other villagers, no matter what.","Lo sé. Por eso tenemos que ayudar a los demás aldeanos pase lo que pase."
"......","......","......"
"Essa pessoa também deve estar sonhando.","This person must be dreaming, too.","Esta persona también está absorta en el mundo de los sueños."
"Parece que sim.","It would appear that way, yes.","Eso parece, sí."
"Não posso dizer que estou muito animado para voltar lá. Esse mundo dos sonhos meio que me dá arrepios.","Can't say I'm very excited to go back there—that dreamworld sorta creeps me out.","La verdad es que no me hace mucha gracia volver ahí... El mundo de los sueños me pone la piel de gallina."
"Talvez você deva gastar menos tempo reclamando e mais tempo cumprindo a missão!","Perhaps you should spend less time complaining and more time getting on with the mission!","¡Deberías quejarte menos y trabajar más en completar la misión!"
"Sim, sim...","Yeah, yeah...","Vale, vale..."
"......","......","......"
"......","......","......"
"Você tem algo a dizer sobre isso?","You have anything to say about that?","¿Tienes algo que decir sobre eso?"
"Nada desse negócio de labirintos da próxima vez!","Hopefully there will be no labyrinth next time!","Espero que la próxima vez no haya ningún laberinto."
"Entendi.","I hear that.","Eso espero yo también."
"Outra vítima... Este trabalho com certeza é árduo.","And another victim... This work certainly is trying.","Otra víctima más... Este trabajo es realmente duro."
"Achei que um livro como você estaria interessado em todas essas coisas de palavras, Weiss.","I figured a book like you would be into all this word stuff, Weiss.","Pensaba que a un libro como tú se le daría bien todo este rollo de las palabras, Weiss."
"Até eu tenho exceções. Agora vamos embora.","Even I have my exceptions. Now let's be off.","Hasta yo tengo mis excepciones. Venga, pongámonos en marcha."
"......","......","......"
"Aquilo foi difícil.","That was rough.","Eso ha sido duro."
"Tenho certeza de que já vi antes aquele lugar.","I am positive I have seen that place before.","Creo firmemente que he visto ese lugar antes."
"Ok, já chega. Não quero você todo estranho comigo também.","Okay, that's enough. Don't need you getting all weird on me, too.","Bueno, ya vale. Ya tengo suficiente como para que tú también te pongas así conmigo."
"......","......","......"
"......","......","......"
"............","............","............"
"............","............","............"
"Parece que falhamos.","It would seem we failed.","Parece ser que hemos fracasado."
"Sim.","Yeah.","Sí."
"Devemos agir com mais cuidado da próxima vez.","We'd best act more carefully next time.","La próxima vez será mejor ir con más cuidado."
"Este é o pior trabalho de todos.","This is the worst job ever.","Este es el peor encargo de la historia."
"Ok. Pronto. Agora todos os aldeões podem acordar, certo?","Okay. There. Now all the villagers can wake up, right?","Bueno, ahora todos los aldeanos podrán despertar, ¿no?"
"Sim, se a suposição do prefeito estiver correta.","Yes, if the mayor's assumption was correct.","Así es, siempre que el alcalde estuviera en lo cierto."
"Acredito que esses desafios de palavras já foram mais do que suficientes para mim. Muito obrigado!","I think I have had enough wordplay to last a lifetime, thank you very much!","Espero no tener que volver a toparme con juegos de palabras nunca más. ¡Gracias!"
"Nem me fala. De qualquer forma, vamos ver o prefeito.","You're telling me. Anyway, let's go see the mayor.","Ya te digo. Bueno, vamos a ver al alcalde."
"Oh, que maravilha. Muito obrigado!","Oh, how wonderful. Thank you so much!","Vaya, ¡muchas gracias! ¡Muchísimas gracias!"
"Aqui, tenho algo para você.","Here, I have something for you. ","Toma. Tengo algo para ti. "
"Uau, isso parece valioso. Eu posso realmente ficar com isso?","Wow, this looks valuable. I can really have it?","Vaya, parece valioso. ¿En serio me lo puedo quedar?"
"Claro!","Of course!","¡Por supuesto!"
"Parece ser uma arma de certa reputação, mas temos pouco uso para ela.","It's apparently a weapon of some renown, but we have little use for it.","Parece ser un arma con cierta fama, pero dudo que vayamos a darle uso."
"Bem, agradecemos.","Well, we appreciate it.","Vaya, pues muchas gracias."
"Obrigado novamente. Por tudo!","Thank you again. For everything!","Gracias una vez más... ¡por todo!"
"Simplesmente não posso suportar mais uma dessas conversas infernais. Vamos deixar para outra hora.","I simply cannot bear another of these infernal conversations. Let us save it for another time.","Ahora mismo no puedo soportar otra de estas conversaciones infernales. Dejémoslo para otro momento."
"Weiss: Espere um momento. Estou com uma sensação diferente em minha mente.","Weiss: Hold a moment. There is a strange new sensation in my mind.","Weiss: Un momento. Una extraña sensación me invade la mente."
"A voz de Weiss se elevou de forma interrogativa.","Weiss's voice rose in a quizzical way.","La voz de Weiss se llenó de incredulidad."
"Weiss: NÃO É interrogativa!","Weiss: It is NOT quizzical!","Weiss: ¡No es incredulidad!"
"<NIER>: O que está acontecendo!?","<NIER>: What's going on!?","<NIER>: ¿Qué sucede?"
"O corpo do aldeão estremeceu enquanto lentamente abria os olhos.","The villager's body shuddered as he slowly opened his eyes.","El cuerpo del aldeano se estremeció a medida que abría los ojos lentamente."
"Weiss: Talvez devêssemos começar questionando esse homem.","Weiss: Perhaps we should start by asking this man.","Weiss: Quizá, deberíamos empezar preguntándole a este tipo."
"Prefeito: ... Qu-quem é você?","Mayor: ...Wh-who are you?","Aldeano: ¿Qui-quiénes sois?"
"<NIER>: Ouvimos que algo aconteceu com esta aldeia, então viemos ver se poderíamos ajudar.","<NIER>: We heard something happened to this village, so we came to see if we could help.","<NIER>: Yo soy <NIER> y este es Weiss. Oímos que había sucedido algo en esta aldea, así que hemos venido a echar una mano."
"O prefeito olhou fixamente para <NIER> e Weiss.","The mayor stared at <NIER> and Weiss.","El aldeano observó a <NIER> y a Weiss."
"Prefeito: Se você pode falar comigo...","Mayor: If you can speak to me...","Aldeano: Si podéis hablar conmigo..."
"Prefeito: Devo ter te encontrado no meu sonho.","Mayor: I must have caught you in my dream.","Aldeano: supongo que estáis atrapados en mi sueño."
"<NIER>: No seu sonho?","<NIER>: In your dream?","<NIER>: ¿Qué quieres decir?"
"O prefeito explicou.","The mayor explained.","El aldeano empezó a explicarse."
