"Poço do deserto 01 desbloqueado.","Desert Well 01 unlocked.",
"Você deve desbloquear outro poço antes de poder usá-los para viagem rápida.","You must unlock another well before you can use them to fast-travel.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Poço do deserto 02 desbloqueado.","Desert Well 02 unlocked.",
"Você deve desbloquear outro poço antes de poder usá-los para viagem rápida.","You must unlock another well before you can use them to fast-travel.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Poço do deserto 03 desbloqueado.","Desert Well 03 unlocked.",
"Você deve desbloquear outro poço antes de poder usá-los para viagem rápida.","You must unlock another well before you can use them to fast-travel.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Poço do deserto 04 desbloqueado.","Desert Well 04 unlocked.",
"Você deve desbloquear outro poço antes de poder usá-los para viagem rápida.","You must unlock another well before you can use them to fast-travel.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"O que é isso? Uma fonte?","What is this? A fountain?",Eh. ¿Qué es esto?
,,
"Parece estar fora de serviço.","It appears to be out of service.",Parece que no funciona.
"Eu não tenho tempo para passear.","I don't have time for sightseeing.",No tengo tiempo para ver el paisaje.
"Eu não preciso sair ainda.","I don't need to go out quite yet.",No quiero despedirme tan pronto.
"Ela não poderia ter saído da vila...","She couldn't have left the village...",No puede haberse marchado de la aldea...
"Eu acho que Popola disse para ir para leste...","I think Popola said to head east...",Creo que Popola dijo que se fue hacia el este...
"É melhor eu olhar mais ao redor da cidade.","I'd better look around town some more.",Será mejor que registre un poco más la zona.
"Eu preciso reunir mais informações dos vilarejos.","I need to gather more info from the villagers.",Necesito recabar más información de los aldeanos.
"Eu tenho que matar aquela Sombra!","I have to kill that Shade!",¡Tengo que acabar con esa Sombra!
"Parece que ainda não podemos entrar.","Looks like we can't get in yet.",No puedo entrar todavía...
"Se eu matar cada Sombra que vejo, eu certamente vou encontrar uma carregando um Verso Selado.","If I kill every Shade I see, I'm bound to run into one carrying a Sealed Verse.","Si acabo con todas las Sombras que vea, terminaré topándome con alguna que lleve un Verso sellado."
"Eu não acho que você possa ir lá novamente.","I don't think you can venture in here again.",No creo que puedas volver a aventurarte por aquí.
