"Grimório Noir","Grimoire Noir","Grimoire Noir"
"<NIER>","<NIER>","<NIER>"
"<NIER>","<NIER>","<NIER>"
"<NIER>","<NIER>","<NIER>"
"Yonah","Yonah","Yonah"
"Yonah","Yonah","Yonah"
"Yonah","Yonah","Yonah"
"Morador","Villager","Villager"
"Guarda","Guard","Guard"
"Dono da loja de itens","Item Shopkeeper","Item Shopkeeper"
"Dono da loja de materiais","Material Shopkeeper","Material Shopkeeper"
"Florista","Florist","Florist"
"Quitandeiro","Grocer","Grocer"
"Ferreiro","Blacksmith","Blacksmith"
"Dono da loja de pesca","Tackle Shopkeeper","Tackle Shopkeeper"
"Taverneiro","Tavern Keeper","Tavern Keeper"
"Morador","Villager","Villager"
"Morador","Villager","Villager"
"Residente","Resident","Resident"
"Peixeiro","Fishmonger","Fishmonger"
"Cartomante","Fortune-teller","Fortune-teller"
"Morador","Villager","Villager"
"Devola","Devola","Devola"
"Popola","Popola","Popola"
"? ? ?","? ? ?","? ? ?"
"Grimório Weiss","Grimoire Weiss","Grimoire Weiss"
"Chefe da aldeia","Village Chief","Village Chief"
"Kainé","Kainé","Kainé"
"Sombra","Shade","Shade"
"Sombra","Shade","Shade"
"Sombra","Shade","Shade"
"Sombra","Shade","Shade"
"Sombra","Shade","Shade"
"Mordomo","Butler","Butler"
"Emil","Emil","Emil"
"Gideon","Gideon","Gideon"
"Menino","Boy","Boy"
"Jakob","Jakob","Jakob"
"Sistema de Defesa","Defense System","Defense System"
"Senhora do Farol","Lighthouse Lady","Lighthouse Lady"
"Carteiro","Postman","Postman"
"Fyra","Fyra","Fyra"
"Conselheiro","Advisor","Advisor"
"Príncipe de Facade","Prince of Facade ","Prince of Facade "
"Rei de Facade","King of Facade ","King of Facade "
"Pessoa Mascarada","Masked Person","Masked Person"
"Soldado Mascarado","Masked Soldier","Masked Soldier"
"Dono da loja de coisas estranhas","Strange-Thing Shopkeeper","Strange-Thing Shopkeeper"
"Quitandeiro","Grocer","Grocer"
"Dono da loja de materiais","Material Shopkeeper","Material Shopkeeper"
"Ferreiro","Blacksmith","Blacksmith"
"Dono da loja de itens","Item Shopkeeper","Item Shopkeeper"
"Homem","Man","Man"
"Mulher","Woman","Woman"
"Jovem Sombra","Young Shade","Young Shade"
"Mãe Sombra","Mother Shade","Mother Shade"
"P-33","P-33","P-33"
"Tyrann","Tyrann","Tyrann"
"Gretel","Gretel","Gretel"
"Líder de matilha","Pack Leader","Pack Leader"
"Lobo","Wolf","Wolf"
"Filhote de Lobo","Wolf Cub","Wolf Cub"
"Filhote de Lobo","Wolf Cub","Wolf Cub"
"Homem Idoso","Old Man","Old Man"
"Irmã","Sister","Sister"
"Pássaro","Bird","Bird"
"Shadowlord","Shadowlord","Shadowlord"
"Devola/Popola","Devola/Popola","Devola/Popola"
"Bandido","Bandit","Bandit"
"Escolha","Choice","Choice"
"Criança","Child","Child"
"Criança Mascarada","Masked Child","Masked Child"
"Aprendiz de Carteiro","Apprentice Postman","Apprentice Postman"
"Morador","Villager","Villager"
"Homem da Bolsa Vermelha","Red-Bag Man","Red-Bag Man"
"Mulher da Bolsa Vermelha","Red-Bag Woman","Red-Bag Woman"
"Louise","Louise","Louise"
"Menina","Girl","Girl"
"Menino","Boy","Boy"
"Gêmeas","Twins","Twins"
"Casal da Bolsa Vermelha","Red-Bag Couple","Red-Bag Couple"
"Morador","Villager","Villager"
"Dono da loja de itens","Item Shopkeeper","Item Shopkeeper"
"Dono da Loja de Materiais","Material Shopkeeper","Material Shopkeeper"
"Florista","Florist","Florist"
"Tendero","Grocer","Grocer"
"Ferreiro","Blacksmith","Blacksmith"
"Dono da Loja de Pesca","Tackle Shopkeeper","Tackle Shopkeeper"
"Proprietário da Taverna","Tavern Keeper","Tavern Keeper"
"Vilarejo","Villager","Villager"
"Residente","Resident","Resident"
"Vendedor de Peixes","Fishmonger","Fishmonger"
"Prefeito","Mayor","Mayor"
"Sombra","Shade","Shade"
"Sombra","Shade","Shade"
"Pessoa Mascarada","Masked Person","Masked Person"
"Soldado Mascarado","Masked Soldier","Masked Soldier"
"Tendero","Grocer","Grocer"
"Dono da Loja de Materiais","Material Shopkeeper","Material Shopkeeper"
"Ferreiro","Blacksmith","Blacksmith"
"Dono da Loja de Itens","Item Shopkeeper","Item Shopkeeper"
"Criança","Child","Child"
"Criança Mascarada","Masked Child","Masked Child"
"","",""
