"Salvar?","Save?","¿Guardar?"
"Carregar?","Load?","¿Cargar?"
"Operação Concluída.","Operation complete.","Operación completada."
"Falha ao Salvar.","Save failed.","Error al guardar."
"Nível","Level","Nivel"
"Data","Date","Fecha"
"Tempo Total de Jogo","Total Play Time","Tiempo total de juego"
"Localização","Location","Ubicación"
"Selecione um arquivo para armazenar os dados de jogo.","Select a save file to store your game data.","Selecciona un archivo para guardar tus datos del juego."
"Selecione os dados do jogo que deseja carregar.","Select the game data you'd like to load.","Selecciona los datos del juego que te gustaría cargar."
"Nível Atual de Dificuldade:","Current Difficulty Level:","Nivel de dificultad actual:"
"Sem Dados","No Data","Sin datos"
"Dados Corrompidos","Corrupted Data","Datos corruptos"
"Pressione Qualquer Botão","Press Any Button","Pulsa cualquier botón"
"Vila de <NAME>","<NAME>'s Village","Aldea de <NAME>"
"Dados Salvos 01","Save Data 01","Datos guardados 01"
"Dados Salvos 02","Save Data 02","Datos guardados 02"
"Dados Salvos 03","Save Data 03","Datos guardados 03"
"Dados do Sistema","System Data","Datos del sistema"
"Criar Novo","Create New","Crear nuevos datos"
"Memória 1","Memory 1","Recuerdo 1"
"Memória 2","Memory 2","Recuerdo 2"
"Memória 3","Memory 3","Recuerdo 3"
"Nível:","Level:","Nivel:"
"Tempo Total de Jogo:","Total Play Time:","Tiempo total de juego:"
"Área:","Area:","Área:"
"Dificuldade:","Difficulty:","Dificultad:"
"Final:","Ending:","Final:"
"Dados do Sistema","System Data","Datos del sistema"
"Nier Replicant ver.1.22474487139...","Nier Replicant ver.1.22474487139...","Nier Replicant ver.1.22474487139..."
"Arquivo Salvo","Save File","Archivo guardado"
"Forjando","Forging","Forjado"
"Cancelar","Cancel","Cancelar"
"Poder de Ataque","Attack Power","Poder de ataque"
"Peso","Weight","Peso"
"Custo de forjamento","Forging Cost","Coste de forjado"
"Dinheiro","Money","Dinero"
"Você não possui nenhuma arma elegível para forjar.","You don't have any weapons eligible for forging.","No tienes ningún arma que puedas forjar."
"Prosseguir com a forja?","Proceed with forging?","¿Forjar?"
"Sim","Yes","Sí"
"Não","No","No"
"G","G","G"
"Nv. 1","Lv. 1","Nv. 1"
"Nv. 2","Lv. 2","Nv. 2"
"Nv. 3","Lv. 3","Nv. 3"
"Nv. 4","Lv. 4","Nv. 4"
"Material","Material","Material"
"Necessário","Needed","Necesario"
"Inventário","Inventory","Inventario"
"Você não pode forjar esta arma agora.","You can't forge this weapon right now.","No puedes forjar esta arma ahora mismo."
"Poder Mágico","Magic Power","Poder mágico"
"→","→","→"
"Loja de Armas","Weapon Shop","Tienda de armas"
"Loja de Itens","Item Shop","Tienda de objetos"
"Floricultura","Flower Shop","Floristería"
"Loja de Materiais","Material Shop","Tienda de materiales"
"Mercearia","Grocery Store","Tienda de alimentación"
"Peixaria","Fish Shop","Pescadería"
"Loja de Itens-Exóticos","Strange-Thing Store","Tienda de objetos raros"
"Loja de Equipamentos de Pesca","Tackle Shop","Tienda de aparejos"
"Loja de Itens-Exóticos","Strange-Thing Store","Tienda de objetos raros"
"Ferreiro","Blacksmith","Herrero"
